uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"31636698-ed41-48dd-9013-00378a2cfce4","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.09890","ok","liana","Live",4.3,130,,,,,,,,,,,,,,"2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"709aba1c-a3b9-4f90-9cdd-67cd7dbafad0","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03161","ok","single shrub","Live",1.6,130,2.8,,,,2.8,2.6,,"inverted cone",2.1,10,0.11,0.08,,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",
"e9a586ec-1c27-4e15-a65e-1a40d14b86d3","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.10910","ok","liana","Live",1.4,130,,,,,,,,,,,,,,"2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"ddbbcbeb-d6f1-4ba7-afee-4a2d9dcdd415","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.09882","ok","liana","Live",1.6,130,,,,,,,,,,,,,,"2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"b894ca03-6800-4ca3-b55f-6651dd4ee3f9","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.09883","ok","liana","Live",3.3,130,,,,,,,,,,,,,,"2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"90470fd1-179d-48fd-8000-2e84684871db","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03174","ok","single shrub","Live",2.2,130,3.2,,,,2.6,2.1,,"inverted cone",2.8,10,0.09,0.08,,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",
"ccc0bcb1-422d-4da9-824e-a36e385744ad","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03128","ok","single bole tree","Live",48.7,130,24.4,,,,,,,,,,,,,"GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"21cc1765-cb4a-49a6-b6be-232af7f550ff","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03167","ok","small shrub","Standing dead",,,1.3,,,,0.7,0.5,,"inverted cone",1.5,10,0.07,0.04,"qualifying stem is dead; living shoots at base","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",
"c1a3312b-f514-441c-aaca-780afcaddc8e","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03126","ok","single bole tree","Live",63.2,130,30.5,,,,,,,,,,,,,"GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"f6fd9aa6-9a16-4034-bfa3-60b9763f4ead","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.10906","ok","liana","Live",4.6,130,,,,,,,,,,,,,,"2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"45c5ad9d-02e7-4712-9910-a17d423382fe","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03144","ok","single bole tree","Dead, broken bole",25.8,130,10.8,,10.8,24.0,,,,,,,,,"Unknown cause","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"3ba4688d-e601-42b7-9486-7418ab3a940a","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03134","ok","single bole tree","Live",70.8,130,30.0,,,,,,,,,,,,,"GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"7ebedb62-0ab8-4883-8101-c6e9dc51a3ae","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03138","ok","single bole tree","Live",31.0,130,23.6,,,,,,,,,,,,,"GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"b81ae7c3-b282-4f86-b1e0-0d5f4148acba","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03145","ok","single bole tree","Standing dead",10.9,130,12.0,,,,,,,,,,,,"Possibly due to emerald ash borer","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"ffb04621-18d7-4d46-a4f8-37feed16c4a2","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.09886","ok","liana","Live",2.8,25,,,,,,,,,,,,,"Type C","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"9739e1de-f968-4cd9-a958-8d6129f3b5e2","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.09892","ok","liana","Live",5.0,130,,,,,,,,,,,,,,"2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"2981d755-7225-4fb4-aee3-201792ba8b08","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03139","ok","single bole tree","Live, physically damaged",12.2,130,6.0,,,,,,,,,,,,"Crown damage vine suppression","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"dc6b891d-e9bd-4dfe-8706-8919fa9cb8e0","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03175","ok","small shrub","Live",,,0.9,,,,0.9,0.4,,"inverted cone",1.4,10,0.05,0.04,,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",
"597e617a-4f73-418d-9ab9-7db065b97e3d","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.09881","ok","liana","Live",2.3,130,,,,,,,,,,,,,"New measurement point due to new rooting point","2CALKs4JNjmK3iYT4PUVEer6DObkBehF","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",
"f8bc1fc5-c05e-4028-8712-0bb60aa00504","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03164","ok","single shrub","Live",2.5,130,3.8,,,,2.8,2.1,,"inverted cone",3.0,10,0.03,0.03,,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",
"76023965-8dd8-4899-828a-08c754a3c236","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03160","ok","small tree","Live",6.8,130,5.1,,,,,,,,,,,,,"GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",
"2454890d-8025-4ad8-a73e-ee768e80ca2e","SCBI_064.basePlot.vst","2018-10-03","vst_SCBI_2018","D02","SCBI","SCBI_064",,"NEON.PLA.D02.SCBI.03166","ok","single shrub","Live",1.4,130,3.5,,,,3.1,2.5,,"inverted cone",2.4,10,0.12,0.10,,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","GRwvwbiSPMj1NaUhvL1kyVbfYNVH3Sr0UuCJMFnR3bg=",
