"best_model","scenario"
"resist.value ~ position_all+height.ln.m+year+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)","all droughts"
"resist.value ~ height.ln.m+rp+(1|sp)","1966"
"resist.value ~ height.ln.m+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)","1977"
"resist.value ~ height.ln.m+TWI.ln+rp+mean_TLP_Mpa+(1|sp)","1999"
