"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1964.1966","coef_1964.1966","coef_var_1964.1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"year","drought.year","resist.value ~ (1|sp/tree)","resist.value ~ (1|sp/tree)+year","resist.value ~ (1|sp)","resist.value ~ (1|sp)",24.595,"-","year1977 (-93.0169), year1999 (-8.4467)",0,"+","",0,"+","",0,"+",""
2.1,"dbh.ln.cm","ln[DBH]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+dbh.ln.cm","resist.value ~ (1|sp)","resist.value ~ (1|sp)+dbh.ln.cm",142.692,"-","dbh.ln.cm (-319.5404)",86.061,"-","dbh.ln.cm (-270.4986)",62.232,"-","dbh.ln.cm (-349.889)",43.017,"-","dbh.ln.cm (-309.6807)"
2.2,"height.ln.m","ln[height]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+height.ln.m","resist.value ~ (1|sp)","resist.value ~ (1|sp)+height.ln.m",143.579,"-","height.ln.m (-497.7264)",86.061,"-","height.ln.m (-421.3374)",62.232,"-","height.ln.m (-544.9985)",43.017,"-","height.ln.m (-482.3687)"
2.3,"position_all","crown.position alone","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+position_all","resist.value ~ (1|sp)","resist.value ~ (1|sp)+position_all",111.594,"-","position_alldominant (-155.3909), position_allintermediate (238.0778), position_allsuppressed (381.0658)",44.945,"-","position_alldominant (-97.1941), position_allintermediate (215.8954), position_allsuppressed (300.2844)",42.684,"-","position_alldominant (-270.7322), position_allintermediate (250.2882), position_allsuppressed (443.1288)",28.292,"-","position_alldominant (-113.3546), position_allintermediate (245.3094), position_allsuppressed (394.9489)"
1.2,"position_all","crown.position w/height","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+position_all","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+position_all",30.114,"-","position_alldominant (-103.9699), position_allintermediate (78.465), position_allsuppressed (80.4948)",-2.645,"-","position_alldominant (-49.8242), position_allintermediate (61.809), position_allsuppressed (10.8148)",-0.16,"-","position_alldominant (-218.2194), position_allintermediate (78.2292), position_allsuppressed (126.0222)",-3.047,"-","position_alldominant (-67.1505), position_allintermediate (106.645), position_allsuppressed (127.5934)"
1.3,"height.ln.m*TWI.ln","ln[height]*ln[topographic.wetness.index]","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value~height.ln.m*TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value~height.ln.m*TWI.ln+(1|sp)",10.307,"+","height.ln.m:TWI.ln (100.6254)",-1.844,"+","height.ln.m:TWI.ln (73.8895)",-1.862,"-","height.ln.m:TWI.ln (-108.9601)",-1.247,"+","height.ln.m:TWI.ln (250.7038)"
2.4,"TWI.ln","ln[topographic.wetness.index]","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+TWI.ln","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+TWI.ln",8.665,"+","TWI.ln (41.0685)",-1.845,"+","TWI.ln (34.4778)",-1.567,"-","TWI.ln (-80.5913)",-0.335,"+","TWI.ln (154.8716)"
3.1,"rp","ring.porosity","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+rp","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+rp",13.869,"+","rpring (206.9206)",4.215,"+","rpring (175.5283)",-1.283,"+","rpring (93.8753)",5.348,"+","rpring (384.2504)"
3.2,"PLA_dry_percent","percent.loss.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+PLA_dry_percent","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+PLA_dry_percent",4.725,"-","PLA_dry_percent (-6.1486)",-1.416,"-","PLA_dry_percent (-5.6217)",-2.005,"-","PLA_dry_percent (-1.8189)",-1.221,"-","PLA_dry_percent (-13.2626)"
3.3,"LMA_g_per_m2","leaf.mass.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+LMA_g_per_m2","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+LMA_g_per_m2",4.29,"+","LMA_g_per_m2 (4.4952)",-0.401,"+","LMA_g_per_m2 (2.9474)",1.491,"+","LMA_g_per_m2 (5.9034)",-1.179,"+","LMA_g_per_m2 (4.4561)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+mean_TLP_Mpa","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+mean_TLP_Mpa",13.483,"-","mean_TLP_Mpa (-309.5046)",-1.667,"-","mean_TLP_Mpa (-82.1566)",5.615,"-","mean_TLP_Mpa (-458.7836)",0.098,"-","mean_TLP_Mpa (-397.1392)"
3.5,"WD_g_per_cm3","wood.density","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+WD_g_per_cm3","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+WD_g_per_cm3",12.738,"+","WD_g_per_cm3 (335.2174)",-1.75,"+","WD_g_per_cm3 (102.4539)",0.657,"+","WD_g_per_cm3 (433.9016)",-0.203,"+","WD_g_per_cm3 (514.1664)"
