variable,category,null model variables,dAICc,coefficients,dAICc,coefficients,dAICc,coefficients,dAICc,coefficients
ln[DBH],,(year),142.69**,-319.54,86.06**,-270.5,62.23**,-349.9,43.02**,-309.68
ln[H],,(year),143.58**,-497.72,86.06**,-421.34,62.23**,-545,43.02**,-482.37
crown position,D,(year),111.59**,-155.39,44.95**,-97.19,42.68**,-270.73,28.29**,-113.35
     (alone),C,,-,0,-,0,-,0,-,0
,I,,-,238.08,-,215.9,-,250.29,-,245.31
,S,,-,381.06,-,300.28,-,443.13,-,394.95
crown position ,D,ln[H] (+year),30.11**,-103.97,-2.65,-49.82,-0.16,-218.22,-3.047,-67.15
     (with height),C,,-,0,-,0,-,0,-,0
,I,,-,78.47,-,61.81,-,78.23,-,106.65
,S,,-,80.49,-,10.81,-,126.02,-,127.59
ln[TWI],,ln[H] (+year),8.67**,41.07,-1.85,34.48,-1.57,-80.59,-0.34,154.87
ln[TWI]*ln[H],,ln[H]+ln[TWI] (+year),10.31**,100.63,-1.84,73.89,-1.86,-108.96,-1.25,250.7
$WD$,,ln[H] (+year),12.74**,335.22,-1.75,102.45,0.66,433.9,-0.2,514.17
$LMA$,,ln[H] (+year),4.29**,4.5,-0.4,2.95,1.49*,5.9,-1.18,4.46
xylem porosity,R,ln[H] (+year),13.87**,206.92,4.22**,175.53,-1.28,93.88,5.35**,384.25
,D/SR,,-,0,-,0,-,0,-,0
$\pi_{tlp}$ ,,ln[H] (+year),13.48**,-309.5,-1.67,-82.16,5.62**,-458.78,0.1,-397.14
$PLA$,,ln[H] (+year),4.73**,-6.15,-1.42,-5.62,-2.01,-1.82,-1.22,-13.26
