"GVIF","Df","GVIF^(1/(2*Df))","scen"
2.00682511681694,1,1.41662455040739,"all droughts"
1.01801678665907,1,1.00896817921036,"all droughts"
1.9712562365867,3,1.11975715642556,"all droughts"
1.00273759892677,1,1.00136786393751,"all droughts"
1.03433584980284,1,1.0170230330739,"all droughts"
1.96480728430404,1,1.40171583578985,"1966"
1.01965693075661,1,1.00978063496812,"1966"
1.95744760044063,3,1.11844600911281,"1966"
1.00432496791257,1,1.00216015083048,"1966"
1.95860116769116,1,1.3995003278639,"1977"
1.01734910745144,1,1.00863725265897,"1977"
1.96418364467469,3,1.11908656452883,"1977"
1.00904682145773,1,1.00451322612384,"1977"
2.04699616113135,1,1.43073273574464,"1999"
1.01349959838322,1,1.00672717177159,"1999"
2.05018465871032,3,1.12710790718236,"1999"
1.00714639547688,1,1.00356683657686,"1999"
