"Modnames","Delta_AICc","scenario","order_original","order_anova"
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",0,"trees_all_sub",1,2
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0.59,"trees_all_sub",2,1
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",0.73,"trees_all_sub",3,4
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0.81,"trees_all_sub",4,3
"resist.value ~ height.ln.m+rp+PLA_dry_percent+(1|sp)",0,"x1966",5,5
"resist.value ~ TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",0,"x1977",6,7
"resist.value ~ TWI.ln+rp+PLA_dry_percent+(1|sp)",0.04,"x1977",7,6
"resist.value ~ position_all+TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",0.5,"x1977",8,9
"resist.value ~ position_all+TWI.ln+rp+PLA_dry_percent+(1|sp)",0.82,"x1977",9,8
"resist.value ~ TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0,"x1999",10,10
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0.02,"x1999",11,11
