"GVIF","Df","GVIF^(1/(2*Df))","scen"
2.12918942570027,3,1.13423327345338,"all droughts"
2.23439940505076,1,1.49479075627686,"all droughts"
1.04772935639055,2,1.01172452590576,"all droughts"
1.26589963806646,1,1.12512205474182,"all droughts"
1.39824460233194,1,1.18247393304544,"all droughts"
1.22330235166759,1,1.10602999582633,"all droughts"
