"yr","canopy","subcanopy"
"1899",1,1
"1907",1,1
"1911",3,2
"1918",1,1
"1947",1,4
"1959",1,1
"1962",1,3
"1963",1,1
"1965",1,2
"1966",4,4
"1977",2,5
"1979",1,1
"1980",1,1
"1987",1,4
"1991",3,4
"1996",1,2
"1999",2,5
"2011",1,2
"1889",NA,1
"1905",NA,1
"1906",NA,1
"1908",NA,2
"1909",NA,1
"1912",NA,1
"1913",NA,1
"1915",NA,1
"1919",NA,1
"1930",NA,1
"1933",NA,1
"1939",NA,1
"1944",NA,1
"1948",NA,1
"1950",NA,1
"1957",NA,1
"1958",NA,1
"1960",NA,1
"1961",NA,1
"1964",NA,3
"1971",NA,1
"1972",NA,1
"1973",NA,1
"1974",NA,2
"1976",NA,1
"1984",NA,4
"1985",NA,2
"1986",NA,1
"1992",NA,2
"1993",NA,1
"1994",NA,1
"1995",NA,1
"1997",NA,4
"1998",NA,2
"2000",NA,1
"2002",NA,2
"2003",NA,1
"2004",NA,2
"2005",NA,2
"2006",NA,2
"2007",NA,2
"2009",NA,1
"2010",NA,2
"2012",NA,2
