uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"2dbcb910-3af2-44a4-9a5f-7e5d9f1cb08a","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.02606",,"sapling","Live",2.1,10,1.7,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"056be2a5-4e22-4844-ae6f-b051d69725e2","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02583",,"liana","Live",5.5,130,,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"bf71af1b-d13e-4df3-9ca2-1f8e1cf7ec07","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.02615",,"sapling","Live",1.6,10,0.9,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"1777ee7d-274f-4811-880d-0df63416f46a","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02549",,"single bole tree","Live,  other damage",54.4,130,25.3,,,,,,"Partially shaded",,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"f1138b5c-c443-4407-b320-4b696f4f0492","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.03009",,"single bole tree","Live",48.6,130,27.6,,,,,,,,,,,,,"otzZ09yzQEzFIIPcpdl9PUakADElVpVu","TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","legacyData"
"e86a3fe3-f95f-4d1b-bd2b-842e427b977e","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02580",,"single bole tree","Live,  other damage",11.5,130,6.9,,,,,,"Full shade",,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"16bbb119-e58a-45ac-9e0b-162d583d5f1d","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02678",,"small tree","Live",1.8,130,3.3,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"e0c69cc2-6eaa-4ce8-90e2-dec4c1f4a58d","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02647",,"sapling","Live",1.5,10,1.6,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"e919dce8-4379-432a-90ac-b89b03c812ed","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.09932",,"sapling","Live",1.3,10,1.1,,,,,,,,,,,,"Error changed VD1 from 1.3 to 1.1","TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"403f89ba-ef41-4e8f-bdca-a21e3c663327","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.00171",,"sapling","Live,  other damage",1.5,10,0.7,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
