"tag","stemtag","sp","quadrat","lx","ly","height.year","height.m","stemID","dbh.cm","dbh_year","dbh_2018.cm","status"
30343,1,"quru",307,17.9,8,2013,27.4,3979,60,2013,NA,"Dead"
30238,1,"prav",309,5.6,7.9,2012,18.8,3878,21.85,2013,24,"Live"
30256,1,"fagr",310,9.3,18.4,2013,31.3,3896,60.1299987792969,2013,61.1,"Live"
30408,1,"astr",310,19.8,11.4,2012,9.3,4039,6.95,2013,7.6,"Live"
30273,1,"fagr",311,9.6,4.1,2013,30.5,3913,46.15,2013,47.8,"Live"
30421,1,"fagr",311,13.1,2.8,2013,26,4052,62.2,2013,62.6,"Live"
32088,1,"prav",317,0.5,13.5,2012,12.4,4317,13.0899993896484,2013,14,"Live"
32029,1,"havi",319,14.5,18.6,2012,5.4,4264,8.51999969482422,2013,9.4,"Live"
32115,1,"caca",320,7.1,10.6,2012,4,4344,5.55,2013,NA,"Dead"
32486,1,"caovl",330,3,14.2,2012,28.2,4707,51.0200012207031,2013,51.4,"Live"
40028,1,"ploc",401,9.5,6.3,2012,26.2,4791,46.3799987792969,2013,46.8,"Live"
40562,1,"fagr",406,6.3,16.2,2013,6.5,5039,8.09000015258789,2013,8.6,"Live"
40563,1,"fagr",406,3.6,17.8,2013,27.1,5040,36.5,2013,40.6,"Live"
40564,1,"fagr",406,2.4,12.4,2013,4.5,5041,5.77999992370605,2013,6.9,"Live"
40565,1,"cagl",406,1.9,10.1,2013,15.3,5042,18.2100006103516,2013,18.3,"Live"
40566,1,"cagl",406,1.1,9.4,2013,25.2,5043,27.0200012207031,2013,28.9,"Live"
40567,1,"fagr",406,1.6,7.2,2013,6.5,5044,9.33000030517578,2013,10.5,"Live"
40568,1,"fagr",406,0.1,5.2,2013,15.5,5045,16.9899993896484,2013,19.8,"Live"
40569,1,"litu",407,5.6,1.7,2013,28.2,5046,28,2013,33.2,"Live"
40755,1,"astr",410,4.2,11.3,2012,7,5225,5.22999992370605,2013,5.9,"Live"
40773,1,"astr",410,6.7,15.7,2012,8.4,5242,6.79000015258789,2013,8,"Live"
40793,1,"astr",411,10.1,0.9,2012,10.4,5262,11.35,2013,12.3,"Live"
40795,2,"astr",411,8,2.9,2012,8.1,32836,7.40999984741211,2013,9.2,"Live"
40955,1,"acru",414,4.2,10.5,2012,30.6,5416,30.8700012207031,2013,33.9,"Live"
42009,1,"ploc",417,19.5,3.7,2012,34.2,5499,57.6799987792969,2013,60.4,"Live"
42020,1,"ploc",417,18.3,19.2,2012,28.3,5510,50.7600006103516,2013,51.2,"Live"
42027,1,"ploc",417,5.3,18,2012,32.8,5517,61.8,2013,63.7,"Live"
42580,1,"caovl",432,5,0.7,2012,29.7,5959,31.7200012207031,2013,31.5,"Live"
42585,1,"caovl",432,2.6,6.4,2012,30.9,5964,58.0700012207031,2013,59.3,"Live"
50019,1,"ploc",501,1.3,7.1,2012,8.8,6004,26.8200012207031,2013,NA,"Dead"
50203,1,"prav",502,14.8,3.8,2012,24.5,6091,33.75,2013,32.5,"Live"
50175,1,"prse",503,7.4,11.9,2012,5,6064,5.4,2013,NA,"Dead"
50380,1,"cagl",508,3,7.6,2018,36,6265,31.4,2018,31.4,"Live"
50463,1,"aial",509,18.9,6.3,2012,4.8,6346,3.37999992370605,2013,NA,"Dead"
50484,1,"quru",510,8.3,14.7,2012,33.3,6366,44.4200012207031,2013,45.3,"Live"
50499,1,"quru",511,7.7,12,2018,33.8,6380,66.4,2018,66.4,"Live"
50528,1,"havi",512,5.9,12.7,2012,7.8,6408,7.3,2013,7.8,"Live"
50540,1,"litu",513,1.8,3.5,2018,34.9,6420,66.5,2018,66.5,"Live"
50650,1,"litu",514,19.5,14.9,2013,20.3,6521,18.4300003051758,2013,19.1,"Live"
50654,1,"litu",514,17.2,19.1,2013,37.3,6525,71.7200012207031,2013,73.5,"Live"
52087,1,"quru",519,1.1,11.1,2012,35.3,6638,145.1,2013,145.3,"Live"
52190,1,"quru",522,16.4,3.4,2012,32,6741,96.85,2013,100.5,"Live"
52245,1,"caovl",524,17.1,15,2012,20.3,6795,22.8,2013,23.2,"Live"
60225,1,"prav",602,3.1,19.1,2012,23.5,7224,30.6100006103516,2013,31.9,"Live"
60373,1,"aial",609,0.4,5.2,2012,9.5,7366,4.89000015258789,2013,5.9,"Live"
60196,1,"cato",610,16.4,1.8,2012,20.6,7197,22.0199996948242,2013,22.6,"Live"
60198,1,"caco",610,13.5,4.5,2012,34.9,7199,47.2,2013,49.5,"Live"
60432,1,"caco",612,2.3,16.9,2012,37.4,7418,45.2,2013,45.8,"Live"
60433,1,"caca",612,0.9,18.1,2012,10.1,7419,18.7,2013,19.5,"Live"
60456,1,"caca",614,5.3,15,2013,4.8,7441,6.45,2013,4.9,"Live"
60456,2,"caca",614,5.3,15,2013,4.8,33117,2.6,2013,3.6,"Live"
60457,1,"caca",614,4,15.2,2013,6.8,7442,9.95,2013,10.4,"Live"
60562,1,"fagr",614,19,8.7,2013,9.9,7541,12.4,2013,15.7,"Live"
60563,1,"caca",614,14.2,13.2,2013,8.8,7542,8.75,2013,9.5,"Live"
60566,1,"fagr",614,10,11,2013,17.4,7545,19.4199996948242,2013,21.9,"Live"
60567,1,"litu",614,11.6,11.2,2013,38.6,7546,53.6799987792969,2013,55.6,"Live"
60568,1,"caca",614,15.5,15.6,2013,7.3,7547,9.03000030517578,2013,9.7,"Live"
60569,1,"caca",614,19.4,16.2,2013,9.1,7548,8.95,2013,10,"Live"
60570,1,"caco",614,15.2,16.7,2013,18.6,7549,39.6100006103516,2013,NA,"Dead"
60571,1,"caca",614,12,17.4,2013,6.6,7550,11.6,2013,12.7,"Live"
60573,1,"tiam",614,8.5,16.3,2013,21.1,7552,25.85,2013,27.4,"Live"
60458,1,"fagr",615,1.9,0,2013,23.2,7443,26.95,2013,29.8,"Live"
60459,1,"fagr",615,2,3,2013,9.2,7444,9.96999969482422,2013,12.2,"Live"
60462,1,"fagr",615,5.6,7.6,2013,17.2,7447,20.95,2013,23.8,"Live"
60463,1,"juni",615,7.2,8,2013,25.5,7448,46.8,2013,49.1,"Live"
60468,1,"caca",615,5.4,9.6,2013,4.6,7453,6.73000030517578,2013,7.4,"Live"
60468,2,"caca",615,5.4,9.6,2013,4.6,40938,4.45999984741211,2013,4.8,"Live"
60469,2,"cofl",615,6.8,9.8,2013,7.5,33120,3.97000007629395,2013,NA,"Dead"
60575,1,"caca",615,18.4,1.7,2013,5.6,7554,5.10999984741211,2013,NA,"Dead"
60576,1,"caca",615,17.1,1,2013,8.4,7555,9.50999984741211,2013,10.5,"Live"
60577,1,"litu",615,12.7,1.4,2013,33.5,7556,54.6200012207031,2013,57.2,"Live"
60578,1,"caca",615,13.2,9.9,2013,4.2,7557,7.85,2013,8.2,"Live"
60579,1,"caca",615,16.8,4,2013,5.2,7558,7.60999984741211,2013,NA,"Dead"
60581,1,"litu",615,19.8,9.3,2013,31.8,7560,68.5099975585938,2013,70.2,"Live"
60582,1,"quru",615,20,10.2,2013,22.6,7561,28.5100006103516,2013,29.3,"Live"
60586,1,"caca",615,16.2,9.3,2013,5.1,7565,6.25,2013,6.4,"Live"
60587,1,"caca",615,14,9.8,2013,5.6,7566,7.05,2013,8,"Live"
60588,1,"caco",615,13.4,7.3,2013,25.1,7567,29.2299987792969,2013,30.5,"Live"
60589,1,"caca",615,10.7,7,2013,5.6,7568,8.35999984741211,2013,8.7,"Live"
60589,2,"caca",615,10.7,7,2013,4.4,33143,6.00999984741211,2013,6,"Live"
60476,1,"caca",616,4.3,11.6,2012,7,7461,8.60999984741211,2013,9.3,"Live"
60483,1,"caca",616,13.8,10.2,2012,7.6,7468,15.3100006103516,2013,15.6,"Live"
60485,1,"cato",616,7,17.3,2012,22.7,7470,39,2013,40.5,"Live"
60489,1,"cato",616,13.8,20,2012,7.7,7474,4.77000007629395,2013,5.8,"Live"
60493,1,"ploc",616,7.5,8,2012,24.5,7475,33.3100006103516,2013,34.6,"Live"
60494,1,"cato",616,10.5,10.4,2012,20.1,7476,22.4800003051758,2013,24.1,"Live"
60500,1,"caca",616,0.6,16,2012,6.6,7482,10.9300003051758,2013,12.9,"Live"
60600,1,"caca",616,15.2,7.6,2012,12.4,7579,18.2,2013,18.6,"Live"
62247,1,"cato",623,18.2,11,2012,32.2,7824,57,2013,58.9,"Live"
70178,1,"litu",707,7.1,14.3,2018,24.2,8197,38.1,2018,38.1,"Live"
70492,1,"nysy",714,0.1,11.2,2013,20,8495,19.8600006103516,2013,21.2,"Live"
70493,1,"litu",714,0.3,15.2,2013,24.2,8496,53.9200012207031,2013,55.7,"Live"
70494,1,"caca",714,0.4,15.7,2013,9.9,181,7.73000030517578,2013,9.3,"Live"
70494,2,"caca",714,0.4,15.7,2013,6.8,31371,6,2013,6.6,"Live"
70495,1,"caca",714,1.7,18.6,2013,5.2,8497,6.79000015258789,2013,7.8,"Live"
70581,1,"quru",714,13.7,1.2,2012,36.1,8580,61.45,2013,64.1,"Live"
70598,1,"cato",715,19.9,0.6,2012,14.4,8597,11.1599998474121,2013,12.6,"Live"
70606,1,"litu",715,10.6,8.5,2018,28.9,8605,48.2,2018,48.2,"Live"
72094,1,"acru",718,19.4,17.1,2012,5.6,8739,3.9,2013,3.9,"Live"
72103,1,"acru",718,10,13.7,2012,6,8748,5.45,2013,5.4,"Live"
72337,1,"quru",727,7.9,2.6,2012,31.9,8977,90.5799987792969,2013,93.4,"Live"
80019,1,"prse",802,8.8,10.2,2012,5.3,9121,5.15,2013,5.5,"Live"
80037,1,"prav",802,5.1,17.5,2012,21,9139,20.3800003051758,2013,NA,"Dead"
80053,1,"prse",802,18.7,13.9,2012,11,9154,14.1300003051758,2013,15.1,"Live"
80234,1,"prav",805,13,5.2,2012,17.4,9319,15.2,2013,15.6,"Live"
80463,1,"litu",808,8,17.5,2018,41.2,9539,61.6,2018,61.6,"Live"
80507,1,"caovl",809,15.5,8.7,2012,29.5,9583,27.2,2013,28.5,"Live"
80614,1,"caco",810,1.9,18.2,2012,10.6,9686,10.5800003051758,2013,NA,"Dead"
80640,1,"caovl",811,0.7,14.4,2012,31.8,9712,56.9,2013,58.5,"Live"
80554,1,"caovl",813,6.9,11.2,2012,31.5,9630,48.9200012207031,2013,52.9,"Live"
80580,1,"acru",815,19.8,10.2,2015,24.7,9654,32.3,2013,33.2,"Live"
80582,1,"prav",815,17.6,14.7,2012,23.8,9656,24.1800003051758,2013,26.1,"Live"
80582,1,"prav",815,17.6,14.7,2015,21.8,9656,24.1800003051758,2013,26.1,"Live"
80585,1,"acru",815,19.1,18.1,2015,8.7,9658,9.71999969482422,2013,11,"Live"
80774,1,"acru",816,13.8,16.6,2012,17.9,9842,31.1100006103516,2013,32.6,"Live"
82027,1,"acru",817,19.7,12.1,2015,23.4,9875,16.0600006103516,2013,17.2,"Live"
82060,1,"cagl",818,15.4,1.3,2015,28.7,9908,36.3600006103516,2013,38,"Live"
82065,1,"cagl",818,18.2,6.3,2015,16,9913,18.5300003051758,2013,19.2,"Live"
82104,1,"nysy",819,13.1,4.4,2015,16.8,9951,21.4100006103516,2013,21.5,"Live"
82109,1,"acru",819,14.3,5,2015,4.3,9956,5.49000015258789,2013,NA,"Dead"
82140,1,"qual",820,18.2,2.3,2015,30.9,9986,59.0200012207031,2013,60.8,"Live"
82183,1,"nysy",821,11.4,20,2015,19.4,10026,19,2013,19.3,"Live"
83201,1,"cagl",821,20,2.9,2015,19.3,54802,18,2013,19.1,"Live"
83202,1,"amar",821,19.9,6,2015,5.4,54803,7.19000015258789,2013,7.4,"Live"
82210,1,"cagl",822,17.6,4.5,2015,11.6,10052,8.99000015258789,2013,9.2,"Live"
82228,1,"quru",823,16.6,1.6,2015,34.1,10070,59.85,2013,58.7,"Live"
82232,1,"cagl",823,14.6,5.5,2015,11.3,10074,11.9099998474121,2013,12.8,"Live"
82251,1,"qual",824,12.1,8.5,2015,37.4,10091,61.5799987792969,2013,62.6,"Live"
82253,1,"litu",824,15.7,10.1,2015,16.4,10093,15.3,2013,16.3,"Live"
82368,1,"litu",829,16.8,3.4,2015,41,10206,99.3900024414062,2013,100.4,"Live"
82374,1,"litu",829,10.6,18.3,2015,20.3,10212,31.8600006103516,2013,32.7,"Live"
82407,1,"litu",831,3.9,2.5,2015,40.5,10245,72.2,2013,74,"Live"
90043,1,"quve",901,12.5,17.6,2018,33.9,10315,148.4,2018,148.4,"Live"
90231,1,"prse",902,19.5,2.1,2012,14.3,10491,15.7,2013,18.2,"Live"
90283,1,"qual",903,17.1,18.8,2018,32.3,10538,50.4,2018,50.4,"Live"
90177,1,"prse",904,5.4,14.7,2012,25,10441,58.4,2013,60,"Live"
91302,1,"caovl",906,14.2,5.7,2012,32,10975,62.5099975585938,2013,66,"Live"
91332,1,"caovl",907,9.8,9,2012,28.7,11004,49.0100006103516,2013,48.9,"Live"
90512,1,"litu",909,11.7,19.1,2018,39.5,10758,49.3,2018,49.3,"Live"
91385,1,"caovl",909,8,9.6,2012,36.2,11053,42.9799987792969,2013,44.2,"Live"
90529,1,"quru",910,12.7,18.5,2018,24.6,10775,34.5,2018,34.5,"Live"
90546,1,"qual",911,16.1,19.7,2018,36.7,10792,69.4,2018,69.4,"Live"
90645,1,"litu",912,1.2,4.5,2018,24.9,10889,17.4,2018,17.4,"Live"
90673,1,"caca",914,4.2,7.3,2012,7.5,10917,7.88000030517578,2013,9.3,"Live"
90673,2,"caca",914,4.2,7.3,2012,5.7,33531,4.19000015258789,2013,4.4,"Live"
90677,1,"caca",914,3.5,11.9,2012,4.9,10921,6.25,2013,6.5,"Live"
90684,1,"ploc",915,9.1,6.2,2012,26,10927,41.7299987792969,2013,44.6,"Live"
90719,1,"acru",916,0.9,18.9,2012,17.4,10958,18.3199996948242,2013,20,"Live"
92012,1,"caca",917,4,8.1,2015,5.3,11178,5.44000015258789,2013,5.9,"Live"
92016,1,"quru",917,3.2,3.4,2015,28.1,11182,63.8,2013,68,"Live"
92018,1,"acru",917,16.2,5.6,2012,24.1,11184,51.95,2013,53.4,"Live"
92023,1,"prav",917,11,11.7,2012,9.1,11188,9.21999969482422,2013,9.4,"Live"
92035,1,"acru",917,3.7,13.5,2012,24.2,11199,39.2200012207031,2013,41.4,"Live"
92053,1,"cato",918,2.8,0.7,2015,4.9,11217,5,2013,5.2,"Live"
92081,1,"acru",918,1.8,18.2,2012,5.4,11245,3.94000015258789,2013,4.6,"Live"
92085,1,"qual",919,1.5,1,2015,32.3,11249,58.45,2013,60.9,"Live"
92124,1,"acru",920,1.3,1.7,2015,14.2,11288,16.7199996948242,2013,16.6,"Live"
92127,1,"cagl",920,7.2,2,2015,4,11291,2.9,2013,2.9,"Live"
92172,1,"litu",921,4.6,4,2015,32,11335,44.4899993896484,2013,47,"Live"
92214,1,"litu",922,2.2,4.1,2015,35.3,11376,49.9200012207031,2013,52,"Live"
92249,1,"nysy",922,9.7,16,2015,15.2,11409,20.5399993896484,2013,21.2,"Live"
92261,1,"prse",923,5.1,8.7,2012,7.2,11420,10.3699996948242,2013,11.3,"Live"
92289,1,"astr",923,12.6,11.3,2012,2.5,11447,1.58000001907349,2013,2,"Live"
92294,1,"astr",923,16.6,12.7,2012,3.1,11452,2.23999996185303,2013,2.2,"Live"
92348,1,"caovl",924,5.8,4.5,2012,22.2,11499,48.7200012207031,2013,48.3,"Live"
92380,1,"cofl",924,3.1,11.5,2015,5.6,11529,8.3,2013,8.4,"Live"
92385,1,"cagl",925,2.8,5.9,2015,5.7,245,5.87000007629395,2013,5.9,"Live"
92387,1,"litu",925,7.3,4.7,2015,34.8,11534,54.1,2013,56.1,"Live"
92389,1,"litu",925,2.9,3.9,2015,25.6,11536,26.6200012207031,2013,27.1,"Live"
92397,1,"vipr",925,11.5,19.7,2015,6.5,11544,6.41999969482422,2013,6.5,"Live"
92414,1,"litu",926,11.2,0.9,2015,35.8,11561,43.2799987792969,2013,44.4,"Live"
92415,1,"nysy",926,12.4,0.2,2015,15.8,11562,20.6800003051758,2013,20.9,"Live"
92443,1,"quru",927,1.2,0.9,2015,36.4,11587,75.5900024414062,2013,78,"Live"
92446,1,"prav",927,9.3,3.2,2015,7.8,11590,8.00999984741211,2013,8.3,"Live"
92447,1,"litu",927,9.7,4.7,2015,23,11591,16.6800003051758,2013,17.9,"Live"
92459,1,"nysy",927,11,13.8,2015,5,11603,6.55,2013,6.7,"Live"
92466,1,"litu",927,0.6,16.3,2015,47.7,11610,83.45,2013,85,"Live"
92472,1,"caovl",928,1.4,3.6,2015,22.7,11616,29.5100006103516,2013,29.8,"Live"
92494,1,"cato",929,4.6,1.5,2015,8.6,11638,7.00999984741211,2013,7.6,"Live"
92500,1,"cato",929,1.1,2.5,2015,16.7,11644,15.1100006103516,2013,15.4,"Live"
92516,1,"litu",930,3,3.6,2015,44.3,11660,63.1900024414062,2013,65.4,"Live"
92517,1,"ceca",930,1,7.8,2015,5.2,11661,6,2013,6.8,"Live"
92539,1,"litu",931,4.3,7.2,2015,24.3,11683,30.3,2013,31.3,"Live"
92544,1,"ceca",931,1.5,7.9,2015,4.7,11688,6.70999984741211,2013,5.9,"Live"
100893,1,"litu",1007,19.2,19.1,2018,31,12517,45.4,2018,45.4,"Live"
101041,1,"cagl",1007,12.5,8.7,2018,18.8,12661,27.7,2018,27.7,"Live"
101117,1,"cato",1011,4.8,6.6,2012,17.4,12736,21.35,2013,NA,"Dead"
102038,1,"cagl",1017,19.2,14.6,2012,33.2,12976,37.7100006103516,2013,39.9,"Live"
102082,1,"cagl",1018,6.3,6.1,2012,18.4,13020,24.3199996948242,2013,24.7,"Live"
102083,1,"cagl",1018,6.9,6.2,2012,29.7,13021,33.1200012207031,2013,35.4,"Live"
102108,1,"cagl",1018,19,11.2,2012,14.7,13046,10.4900001525879,2013,10.8,"Live"
102117,1,"cagl",1018,6.2,17,2012,14.5,13055,16.9600006103516,2013,17.2,"Live"
102119,1,"cagl",1018,3.9,20,2012,20.6,13057,16.2899993896484,2013,16.6,"Live"
102121,1,"cagl",1018,0.1,18.6,2012,9.5,13059,7.86999969482422,2013,NA,"Dead"
102223,1,"prse",1021,16.1,19.4,2012,5.7,13160,9.60999984741211,2013,5.7,"Live"
102379,1,"prav",1026,13,12.1,2012,21.8,13315,21.05,2013,21.7,"Live"
110403,2,"astr",1102,14.6,10.7,2012,7.8,33936,4.87000007629395,2013,5.5,"Live"
110682,1,"caca",1104,6.9,5.2,2012,5.2,14059,4.45,2013,1.5,"Live"
111076,1,"cato",1109,7.4,18,2012,12.7,14425,12.4,2013,11.8,"Live"
111078,1,"cato",1109,7.7,14.1,2012,27.9,14427,29.8799987792969,2013,30.1,"Live"
111164,1,"cagl",1110,0.4,1,2012,9.5,14511,8.34000015258789,2013,8.7,"Live"
111182,1,"prav",1111,6.9,15.9,2012,3.5,14529,3.9,2013,4,"Live"
111226,1,"cato",1113,12.7,7.9,2012,18,14572,19.4600006103516,2013,20.4,"Live"
111245,1,"cato",1114,18.8,11.1,2012,20.1,14591,19.6399993896484,2013,20.3,"Live"
111253,1,"caca",1114,10.6,9.8,2012,6,14599,7.30999984741211,2013,7.3,"Live"
111313,1,"cagl",1114,0.4,6.4,2012,12.4,14655,14.1199996948242,2013,14.1,"Live"
111317,1,"cagl",1114,2.5,13.2,2012,10.4,14659,9.59000015258789,2013,9.7,"Live"
111318,1,"cagl",1114,0.7,13.7,2012,9.1,14660,8.61999969482422,2013,8.6,"Live"
111260,1,"cato",1115,14.5,1,2012,15.7,14606,21.9,2013,21.2,"Live"
111270,1,"caco",1115,15,13.1,2012,38.6,14616,49.4,2013,51,"Live"
111351,1,"astr",1116,1.7,5.1,2012,5.8,14692,4.47999992370605,2013,5.3,"Live"
111359,1,"astr",1116,6.6,12.3,2012,3.1,14700,4.19000015258789,2013,4.4,"Live"
111362,1,"astr",1116,8,14,2012,5.9,14703,4.94000015258789,2013,5.2,"Live"
111373,1,"astr",1116,3.5,11.1,2012,4.8,14713,4.55999984741211,2013,4.9,"Live"
111375,1,"astr",1116,1.2,11.6,2012,6,14715,5.02000007629395,2013,5.9,"Live"
111379,1,"astr",1116,6.8,16.8,2012,6.1,14719,5.22999992370605,2013,5.8,"Live"
111381,1,"astr",1116,5,14.8,2012,11.5,14721,11.8400001525879,2013,12.4,"Live"
111384,1,"astr",1116,3.3,16.1,2012,8.7,14724,7.03000030517578,2013,7.8,"Live"
112014,1,"caco",1117,18,11.2,2012,30.6,14747,48.0399993896484,2013,49.9,"Live"
112057,1,"acru",1117,8.8,4.2,2012,30.7,14787,70.0200012207031,2013,71.2,"Live"
112497,1,"ulru",1132,12.2,13.2,2012,6.6,15202,7.25999984741211,2013,7.5,"Live"
121262,1,"caca",1208,13.8,18.3,2012,7.2,16357,8.10999984741211,2013,8.5,"Live"
121263,1,"cato",1208,14.7,17.5,2012,30.8,16358,36.1200012207031,2013,36,"Live"
121314,1,"caco",1212,15.6,19.4,2012,20.5,16409,22.8300003051758,2013,23.7,"Live"
121434,1,"quru",1214,9,13.1,2012,30.8,16505,73.6299987792969,2013,75.5,"Live"
121349,1,"cagl",1215,8.3,4,2012,35.3,16443,45.4100006103516,2013,45.9,"Live"
121440,1,"havi",1215,14.7,1.3,2012,6.8,16511,7.01999969482422,2013,7.4,"Live"
121458,1,"cato",1216,10.3,5.4,2012,17.4,16526,16.7100006103516,2013,18,"Live"
122003,1,"prav",1217,13.4,3.9,2012,18.3,16540,22.5100006103516,2013,23.2,"Live"
122006,1,"acru",1217,9.9,8.3,2012,23.7,16543,39.5899993896484,2013,40.6,"Live"
130007,1,"ploc",1301,6,4.4,2012,33.5,17004,57.8400024414062,2013,59,"Live"
130170,1,"prse",1302,8.7,14.9,2012,28.2,17160,51.4,2013,51.5,"Live"
130390,1,"prse",1303,8.1,2.9,2012,36.1,17370,66.7099975585938,2013,67.4,"Live"
130768,1,"ulru",1308,4.5,5.6,2012,2.7,17716,2.05,2013,2.6,"Live"
131113,1,"cagl",1310,6.6,0.9,2012,34.5,18039,52.5099975585938,2013,53.5,"Live"
131128,1,"cato",1310,6,13.5,2012,41.9,18054,59.0099975585938,2013,59.8,"Live"
