Date,1 Month
1/1/1949,0.15
2/1/1949,-0.05
3/1/1949,-0.29
4/1/1949,-0.43
5/1/1949,0.5
6/1/1949,0.59
7/1/1949,-0.04
8/1/1949,0.71
9/1/1949,-0.04
10/1/1949,-0.11
11/1/1949,-0.11
12/1/1949,-0.1
1/1/1950,-0.35
2/1/1950,0.24
3/1/1950,0.44
4/1/1950,0.12
5/1/1950,0.44
6/1/1950,0.43
7/1/1950,0.69
8/1/1950,-0.18
9/1/1950,0.38
10/1/1950,0.37
11/1/1950,0.8
12/1/1950,1.15
1/1/1951,1.08
2/1/1951,1.25
3/1/1951,1.1
4/1/1951,1.32
5/1/1951,1.31
6/1/1951,1.62
7/1/1951,0.01
8/1/1951,-0.32
9/1/1951,-0.55
10/1/1951,-0.97
11/1/1951,-1.04
12/1/1951,-1.05
1/1/1952,0.12
2/1/1952,0.01
3/1/1952,0.1
4/1/1952,0.95
5/1/1952,-0.02
6/1/1952,-0.24
7/1/1952,-0.47
8/1/1952,-0.53
9/1/1952,0.13
10/1/1952,-0.23
11/1/1952,0.29
12/1/1952,0.32
1/1/1953,0.7
2/1/1953,-0.15
3/1/1953,0.15
4/1/1953,0.07
5/1/1953,0.36
6/1/1953,-0.09
7/1/1953,-0.49
8/1/1953,-0.71
9/1/1953,-0.85
10/1/1953,-1.12
11/1/1953,-1.63
12/1/1953,-2.06
1/1/1954,-2.52
2/1/1954,-2.99
3/1/1954,-3.24
4/1/1954,-3.5
5/1/1954,-3.49
6/1/1954,-3.37
7/1/1954,0.22
8/1/1954,0.65
9/1/1954,0.4
10/1/1954,0.85
11/1/1954,0.92
12/1/1954,1.11
1/1/1955,0.8
2/1/1955,0.8
3/1/1955,0.93
4/1/1955,0.71
5/1/1955,0.58
6/1/1955,0.74
7/1/1955,0.36
8/1/1955,1.48
9/1/1955,1.28
10/1/1955,1.11
11/1/1955,0.98
12/1/1955,0.64
1/1/1956,0.53
2/1/1956,0.8
3/1/1956,0.85
4/1/1956,0.69
5/1/1956,0.33
6/1/1956,0.01
7/1/1956,0.61
8/1/1956,0.67
9/1/1956,0.7
10/1/1956,0.75
11/1/1956,0.73
12/1/1956,0.73
1/1/1957,0.72
2/1/1957,0.82
3/1/1957,-0.14
4/1/1957,-0.03
5/1/1957,-0.28
6/1/1957,-0.41
7/1/1957,-0.72
8/1/1957,-1.12
9/1/1957,-1.14
10/1/1957,-1.04
11/1/1957,-1.35
12/1/1957,-1.55
1/1/1958,-1.59
2/1/1958,-1.6
3/1/1958,0.33
4/1/1958,0.52
5/1/1958,0.48
6/1/1958,0.45
7/1/1958,0.94
8/1/1958,1.18
9/1/1958,-0.19
10/1/1958,-0.24
11/1/1958,-0.31
12/1/1958,-0.52
1/1/1959,-0.62
2/1/1959,-0.62
3/1/1959,-0.76
4/1/1959,-0.66
5/1/1959,-0.88
6/1/1959,-0.87
7/1/1959,0.24
8/1/1959,0.42
9/1/1959,0.09
10/1/1959,0.51
11/1/1959,0.43
12/1/1959,0.57
1/1/1960,0.6
2/1/1960,0.85
3/1/1960,-0.05
4/1/1960,-0.21
5/1/1960,0.41
6/1/1960,-0.16
7/1/1960,-0.19
8/1/1960,-0.29
9/1/1960,-0.21
10/1/1960,-0.47
11/1/1960,-0.86
12/1/1960,-1.11
1/1/1961,-1.2
