variable,category,$\Delta$AICc,coefficients,$\Delta$AICc,coefficients,$\Delta$AICc,coefficients,$\Delta$AICc,coefficients
xylem porosity,R,-4.53,0.068,2.42**,0.19,1.7*,-0.151,3.97**,0.158
,D/SR,,0,,0,,0,,0
$PLA$,,-2.89,-0.014,8.98**,-0.025,-0.26,-0.01,-0.91,-0.007
$LMA$,,-12.76,0.0001,-1.9,0.001,-1.64,-0.002,-2.06,0.0001
$\pi_{tlp}$ ,,-2.23,-0.162,-1.77,-0.093,1.27*,-0.251,-0.52,-0.153
$WD$,,-3.96,-0.038,-1.17,-0.22,-1.5,-0.151,0.43,0.264
