"Modnames","Delta_AICc","scenario","coef"
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",0,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0.59,"trees_all_sub",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",0.73,"trees_all_sub",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0.81,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",1.29,"trees_all_sub",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",1.82,"trees_all_sub",NA
"resist.value ~ height.ln.m+rp+PLA_dry_percent+(1|sp)",0,"x1966",NA
"resist.value ~ height.ln.m+PLA_dry_percent+(1|sp)",1.11,"x1966",NA
"resist.value ~ position_all+height.ln.m+rp+PLA_dry_percent+(1|sp)",1.84,"x1966",NA
"resist.value ~ TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",0,"x1977",NA
"resist.value ~ TWI.ln+rp+PLA_dry_percent+(1|sp)",0.04,"x1977",NA
"resist.value ~ position_all+TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",0.5,"x1977",NA
"resist.value ~ position_all+TWI.ln+rp+PLA_dry_percent+(1|sp)",0.82,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.3,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp)",1.64,"x1977",NA
"resist.value ~ TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0,"x1999",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0.02,"x1999",NA
"resist.value ~ position_all+height.ln.m+rp+mean_TLP_Mpa+(1|sp)",1.03,"x1999",NA
"resist.value ~ position_all+TWI.ln+rp+mean_TLP_Mpa+(1|sp)",1.13,"x1999",NA
"resist.value ~ rp+mean_TLP_Mpa+(1|sp)",1.95,"x1999",NA
"resist.value ~ TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.96,"x1999",NA
