"Modnames_all_years","dAIC_all_years","Modnames_1966","dAIC_1966","Modnames_1977","dAIC_1977","Modnames_1999","dAIC_1999"
"resist.value ~ sap_ratio+tlp+rp+year+(1|sp/tree)",0,"resist.value ~ height_ln+distance_ln+tlp+rp+(1|sp)",0,"resist.value ~ sap_ratio+height_ln*elev_m+tlp+rp+(1|sp)",0,"resist.value ~ sap_ratio+position_all+distance_ln+tlp+rp+(1|sp)",0
"resist.value ~ sap_ratio+height_ln*elev_m+tlp+rp+year+(1|sp/tree)",0.723534389173778,"resist.value ~ sap_ratio+height_ln+distance_ln+tlp+rp+(1|sp)",1.64655715885866,"resist.value ~ sap_ratio+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",2.08173968514072,"resist.value ~ sap_ratio+position_all+distance_ln+rp+(1|sp)",0.181801265322193
"resist.value ~ sap_ratio+distance_ln+tlp+rp+year+(1|sp/tree)",0.867339819447466,"resist.value ~ height_ln+distance_ln+tlp+(1|sp)",2.006007883472,"resist.value ~ sap_ratio+height_ln+distance_ln+tlp+rp+(1|sp)",2.99130415644204,"resist.value ~ sap_ratio+distance_ln+tlp+rp+(1|sp)",0.515865680729846
"resist.value ~ sap_ratio+tlp+year+(1|sp/tree)",1.37515448230096,"resist.value ~ height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",2.65455104530927,"resist.value ~ sap_ratio+position_all+height_ln*elev_m+tlp+rp+(1|sp)",4.8820082338723,"resist.value ~ sap_ratio+height_ln+distance_ln+tlp+rp+(1|sp)",0.528955727595516
"resist.value ~ sap_ratio+height_ln+tlp+rp+year+(1|sp/tree)",1.82027870023978,"resist.value ~ height_ln+distance_ln+(1|sp)",3.21250869393082,"resist.value ~ sap_ratio+distance_ln+tlp+rp+(1|sp)",5.23677955073475,"resist.value ~ distance_ln+tlp+rp+(1|sp)",0.855556305318132
"resist.value ~ sap_ratio+position_all+tlp+rp+year+(1|sp/tree)",2.00831276534953,"resist.value ~ sap_ratio+height_ln+distance_ln+tlp+(1|sp)",3.22428460039514,"resist.value ~ sap_ratio+height_ln+tlp+rp+(1|sp)",5.54895226538099,"resist.value ~ distance_ln+rp+(1|sp)",1.36396972831717
"resist.value ~ sap_ratio+distance_ln+tlp+year+(1|sp/tree)",2.06404487166233,"resist.value ~ height_ln*elev_m+tlp+rp+(1|sp)",3.5449958346046,"resist.value ~ sap_ratio+position_all+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",6.9721711590381,"resist.value ~ sap_ratio+distance_ln+rp+(1|sp)",1.4004418814761
"resist.value ~ sap_ratio+height_ln*elev_m+tlp+year+(1|sp/tree)",2.46544999124632,"resist.value ~ height_ln*elev_m+distance_ln+tlp+(1|sp)",4.23363290769329,"resist.value ~ sap_ratio+position_all+height_ln+distance_ln+tlp+rp+(1|sp)",7.32468820113512,"resist.value ~ sap_ratio+position_all+tlp+rp+(1|sp)",1.8879710643056
"resist.value ~ sap_ratio+height_ln+distance_ln+tlp+rp+year+(1|sp/tree)",2.65922994103917,"resist.value ~ sap_ratio+height_ln+distance_ln+(1|sp)",4.23812029352441,"resist.value ~ sap_ratio+tlp+rp+(1|sp)",7.52397453427719,"resist.value ~ sap_ratio+position_all+rp+(1|sp)",1.89960565705326
"resist.value ~ sap_ratio+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",2.71824452107282,"resist.value ~ height_ln*elev_m+tlp+(1|sp)",4.24166133918878,"resist.value ~ sap_ratio+position_all+distance_ln+tlp+rp+(1|sp)",9.02930761653502,"resist.value ~ sap_ratio+position_all+height_ln+distance_ln+rp+(1|sp)",1.92474878654826
"resist.value ~ sap_ratio+position_all+height_ln+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",4.91713380481565,"resist.value ~ sap_ratio+position_all+height_ln+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",9.42075830259697,"resist.value ~ sap_ratio+position_all+height_ln+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",6.9721711590381,"resist.value ~ sap_ratio+position_all+height_ln+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",5.63133297596662
