"prediction","model_vars_all_years","null_model_all_years","model_vars_sep_years","null_model_sep_years","response_predict","response_sign","dAIC_all_years","coef_all_years","dAIC_1964.1966","coef_1964.1966","dAIC_1977","coef_1977","dAIC_1999","coef_1999","notes","coef_all_big","coef_1966_big","coef_1977_big","coef_1999_big"
"1.0","resist.value ~ dbh_ln+year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)","resist.value ~ dbh_ln+(1|sp)","resist.value ~ (1|sp)",-1,"-",31.1,-0.0609118379883224,47.81,-0.11012312662732,-0.5,-0.0233428170998597,-1.54,-0.0125266514869105,"",NA,NA,NA,NA
"1.1","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)","resist.value ~ height_ln+(1|sp)","resist.value ~ (1|sp)",-1,"-",33.86,-0.0998090833856203,48.75,-0.171061145017754,-0.42,-0.0384663748356524,-0.93,-0.0297940975661373,"",NA,NA,NA,NA
"1.2a","resist.value ~ position+year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)","resist.value ~ position+(1|sp)","resist.value ~ (1|sp)",-1,"canopy<subcanopy",-2.02,-1.61137675151274e-05,9.54,0.0757344915265822,-1.5,-0.0171905712166774,3.64,-0.0509583880796397,"",NA,NA,NA,NA
"1.2b","resist.value ~ position+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ position+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"canopy<subcanopy",13.86,-0.0651718059052698,-1.99,-0.00518869610455089,1.21,-0.0525075260563052,12.13,-0.0999765578221545,"",NA,NA,NA,NA
"1.2c1, 1.3a1","resist.value ~ elev_m+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ elev_m+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"+",0.52,0.000720628933548763,1.75,-0.00141804931460077,5.09,0.00209858968677367,0.74,0.00115516062598983,"",NA,NA,NA,NA
"1.2c2","resist.value ~ elev_m*height_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ elev_m*height_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"+",1.21,0.00434881324944118,3.12,0.00442743716630671,4.32,0.00639608585671847,0.95,0.00714748422022746,"",NA,NA,NA,NA
"1.3b1","resist.value ~ elev_m*height_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ elev_m*height_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"-",1.21,0.00434881324944118,3.12,0.00442743716630671,4.32,0.00639608585671847,0.95,0.00714748422022746,"",NA,NA,NA,NA
"1.3a2","resist.value ~ distance_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ distance_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"+",-0.48,0.00855090604207374,3.74,-0.0269150023851879,2.76,0.0261616768130741,2,0.02125080111582,"",NA,NA,NA,NA
"1.3b2","resist.value ~ distance_ln*height_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ distance_ln*height_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"-",-0.43,0.0565942886864532,2.89,0.0247732993318995,3.93,0.127092275513237,0.8,0.0788429710027373,"",NA,NA,NA,NA
"2.1","resist.value ~ tlp+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ tlp+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"-",5.08,-0.195111396178332,2.37,-0.214533146652735,1.32,-0.237654175268466,-0.78,-0.142818495359065,"",NA,NA,NA,NA
"2.2","resist.value ~ rp+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ rp+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"ring>diffuse",-2.42,0.0678709186168245,0.57,0.144784672379643,0.58,-0.178261643394693,5.83,0.221619775748909,"",NA,NA,NA,NA
"4","resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)","resist.value ~ height_ln+(1|sp)",NA,"+",21.31,NA,6.61,NA,14.67,NA,22.47,NA,"","ht_nat_log_ln","ht_nat_log_ln","ht_nat_log_ln","dbh_ln"
