"Species","year","Mean Rt"
"caco","1966",1.42
"caco","1977",0.89
"caco","1999",0.87
"cagl","1966",1.03
"cagl","1977",1.25
"cagl","1999",1.01
"caovl","1966",1.14
"caovl","1977",1
"caovl","1999",1.03
"fagr","1966",1.81
"fagr","1977",1.96
"fagr","1999",1.38
"fram","1966",1.5
"fram","1977",1
"fram","1999",1.13
"juni","1977",1.15
"juni","1999",1.19
"juni","1966",1.26
"litu","1966",1.1
"litu","1977",1.11
"litu","1999",0.92
"qual","1966",1.22
"qual","1977",1.19
"qual","1999",1.12
"qupr","1966",1.29
"qupr","1977",1.09
"qupr","1999",1.1
"quru","1966",1.31
"quru","1977",1.16
"quru","1999",1.16
"quve","1966",1.2
"quve","1977",1.09
"quve","1999",1.18
"cato","1966",1.27
"cato","1977",0.9
"cato","1999",0.85
