"Species","year","Mean Rt"
"caco","1966",1.89
"caco","1977",1.2
"caco","1999",1
"cagl","1966",1.41
"cagl","1977",1.52
"cagl","1999",1.2
"caovl","1966",1.52
"caovl","1977",1.33
"caovl","1999",1.1
"fagr","1966",2.09
"fagr","1977",1.85
"fagr","1999",1.58
"fram","1966",1.45
"fram","1977",1.38
"fram","1999",1.13
"juni","1977",1.32
"juni","1999",1.5
"juni","1966",1.87
"litu","1966",1.78
"litu","1977",1.37
"litu","1999",1.55
"qual","1966",1.41
"qual","1977",1.39
"qual","1999",1.29
"qupr","1966",1.21
"qupr","1977",1.46
"qupr","1999",1.26
"quru","1966",1.5
"quru","1977",1.3
"quru","1999",1.3
"quve","1966",1.42
"quve","1977",1.29
"quve","1999",1.28
"cato","1966",1.42
"cato","1977",1.4
"cato","1999",0.92
