"Species","year","Mean Rt"
"caco","1966",0.79
"caco","1977",0.63
"caco","1999",0.83
"cagl","1966",0.76
"cagl","1977",0.78
"cagl","1999",0.89
"caovl","1966",0.78
"caovl","1977",0.71
"caovl","1999",1.01
"fagr","1966",1.01
"fagr","1977",1.15
"fagr","1999",0.86
"fram","1966",1.06
"fram","1977",0.75
"fram","1999",1
"juni","1966",0.61
"juni","1977",0.82
"juni","1999",0.87
"litu","1966",0.59
"litu","1977",0.79
"litu","1999",0.59
"qual","1966",0.89
"qual","1977",0.81
"qual","1999",0.88
"qupr","1966",1.05
"qupr","1977",0.75
"qupr","1999",0.89
"quru","1966",0.93
"quru","1977",0.9
"quru","1999",0.91
"quve","1966",0.88
"quve","1977",0.88
"quve","1999",0.93
"cato","1966",0.91
"cato","1977",0.66
"cato","1999",0.91
