"metric","scen","var"
1.00981818323111,"all droughts","height.ln.m"
1.00517501591947,"all droughts","TWI.ln"
1.00073803229603,"all droughts","PLA_dry_percent"
1.00279640222058,"all droughts","year"
1.00023653320292,"1966","height.ln.m1"
1.00023653320292,"1966","PLA_dry_percent1"
NA,"1977","<2 model terms, can't do VIF"
1.00004741657899,"1999","TWI.ln1"
1.00004741657899,"1999","mean_TLP_Mpa"
