"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1964.1966","coef_1964.1966","coef_var_1964.1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"rp","ring.porosity","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)+rp","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)+rp",-4.532,"+","rpring (0.0679)",2.424,"+","rpring (0.1904)",1.696,"-","rpring (-0.1509)",3.973,"+","rpring (0.1583)"
3.2,"PLA_dry_percent","percent.loss.area","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)+PLA_dry_percent","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)+PLA_dry_percent",-2.894,"-","PLA_dry_percent (-0.0136)",8.977,"-","PLA_dry_percent (-0.0246)",-0.259,"-","PLA_dry_percent (-0.0101)",-0.901,"-","PLA_dry_percent (-0.0071)"
3.3,"LMA_g_per_m2","leaf.mass.area","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)+LMA_g_per_m2","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)+LMA_g_per_m2",-12.756,"+","LMA_g_per_m2 (1e-04)",-1.901,"+","LMA_g_per_m2 (0.0012)",-1.644,"-","LMA_g_per_m2 (-0.0017)",-2.063,"+","LMA_g_per_m2 (1e-04)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)+mean_TLP_Mpa","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)+mean_TLP_Mpa",-2.228,"-","mean_TLP_Mpa (-0.162)",-1.773,"-","mean_TLP_Mpa (-0.0931)",1.273,"-","mean_TLP_Mpa (-0.2513)",-0.519,"-","mean_TLP_Mpa (-0.1532)"
3.5,"WD_g_per_cm3","wood.density","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+position_all+year+(1|sp/tree)+WD_g_per_cm3","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)+WD_g_per_cm3",-3.956,"-","WD_g_per_cm3 (-0.0379)",-1.166,"-","WD_g_per_cm3 (-0.2197)",-1.5,"-","WD_g_per_cm3 (-0.1513)",0.431,"+","WD_g_per_cm3 (0.2644)"
