"Modnames","Delta_AICc","scenario","coef"
"metric.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+PLA_dry_percent+year+(1|sp/tree)",0,"trees_all_sub",NA
"metric.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+year+(1|sp/tree)",0.18,"trees_all_sub",NA
"metric.value ~ height.ln.m*TWI.ln+PLA_dry_percent+year+(1|sp/tree)",1.52,"trees_all_sub",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+PLA_dry_percent+year+(1|sp/tree)",1.55,"trees_all_sub",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+year+(1|sp/tree)",1.7,"trees_all_sub",NA
"metric.value ~ height.ln.m+PLA_dry_percent+(1|sp)",0,"x1966",NA
"metric.value ~ PLA_dry_percent+(1|sp)",0.4,"x1966",NA
"metric.value ~ height.ln.m+(1|sp)",1.19,"x1966",NA
"metric.value ~ (1|sp)",1.31,"x1966",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+PLA_dry_percent+(1|sp)",1.69,"x1966",NA
"metric.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+(1|sp)",0,"x1977",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+(1|sp)",0.5,"x1977",NA
"metric.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+PLA_dry_percent+(1|sp)",1.3,"x1977",NA
"metric.value ~ height.ln.m+TWI.ln+mean_TLP_Mpa+(1|sp)",1.54,"x1977",NA
"metric.value ~ height.ln.m*TWI.ln+(1|sp)",1.56,"x1977",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+PLA_dry_percent+(1|sp)",1.85,"x1977",NA
"metric.value ~ mean_TLP_Mpa+(1|sp)",0,"x1999",NA
"metric.value ~ mean_TLP_Mpa+PLA_dry_percent+(1|sp)",0.31,"x1999",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+(1|sp)",0.5,"x1999",NA
"metric.value ~ TWI.ln+mean_TLP_Mpa+(1|sp)",0.53,"x1999",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+PLA_dry_percent+(1|sp)",0.73,"x1999",NA
"metric.value ~ TWI.ln+mean_TLP_Mpa+PLA_dry_percent+(1|sp)",1.08,"x1999",NA
"metric.value ~ height.ln.m+TWI.ln+mean_TLP_Mpa+(1|sp)",1.25,"x1999",NA
"metric.value ~ height.ln.m+TWI.ln+mean_TLP_Mpa+PLA_dry_percent+(1|sp)",1.71,"x1999",NA
