"car::vif(mod)","scen"
1.01232736751784,"all droughts"
1.00987599960917,"all droughts"
1.09176202980416,"all droughts"
1.09367972993766,"all droughts"
1.01452480848991,"1966"
1.17687316713007,"1966"
1.16540548877727,"1966"
1.00344869140241,"1977"
1.19060973277942,"1977"
1.30472136860936,"1977"
1.13894851635458,"1977"
1.00122341794189,"1999"
1.00551136842465,"1999"
1.00470689074615,"1999"
