"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1966","coef_1966","coef_var_1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"rp","ring.porosity","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+rp","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+rp",15.247,"-","rpring (-0.2799)",9.896,"-","rpring (-0.4739)",-1.667,"-","rpring (-0.0365)",17.058,"-","rpring (-0.3384)"
3.2,"PLA_dry_percent","percent.loss.area","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+PLA_dry_percent","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+PLA_dry_percent",-1.983,"+","PLA_dry_percent (0.0017)",-1.328,"+","PLA_dry_percent (0.0135)",1.099,"-","PLA_dry_percent (-0.0094)",-2.031,"+","PLA_dry_percent (0.0014)"
3.3,"LMA_g_per_m2","leaf.mass.area","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+LMA_g_per_m2","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+LMA_g_per_m2",-1.35,"-","LMA_g_per_m2 (-0.0023)",0.316,"-","LMA_g_per_m2 (-0.0077)",-2.044,"-","LMA_g_per_m2 (-1e-04)",-2.027,"+","LMA_g_per_m2 (5e-04)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+mean_TLP_Mpa","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+mean_TLP_Mpa",-1.134,"-","mean_TLP_Mpa (-0.1494)",-1.938,"-","mean_TLP_Mpa (-0.1014)",1.083,"-","mean_TLP_Mpa (-0.1634)",-1.136,"-","mean_TLP_Mpa (-0.2024)"
3.5,"WD_g_per_cm3","wood.density","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+WD_g_per_cm3","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+WD_g_per_cm3",-1.864,"-","WD_g_per_cm3 (-0.0883)",-1.602,"+","WD_g_per_cm3 (0.2775)",-1.683,"-","WD_g_per_cm3 (-0.0983)",-1.025,"-","WD_g_per_cm3 (-0.2948)"
