"year","sp","position","tree","resist.value","rp","PLA_dry_percent","LMA_g_per_m2","Chl_m2_per_g","mean_TLP_Mpa","WD_g_per_cm3","height.ln.m","height.m","position_all"
"1966","caco","canopy","132018",0.7,"ring",17.2184357420595,45.8645424527914,0.766345628251676,-2.13241333333333,0.832722147,4.81874051812069,123.809057275632,"co-dominant"
"1977","caco","canopy","132018",0.66,"ring",17.2184357420595,45.8645424527914,0.766345628251676,-2.13241333333333,0.832722147,4.82417880826395,124.484201001247,"co-dominant"
"1999","caco","canopy","132018",0.92,"ring",17.2184357420595,45.8645424527914,0.766345628251676,-2.13241333333333,0.832722147,4.8341683914405,125.733978265174,"co-dominant"
"1966","caco","canopy","50488",1.1,"ring",17.2184357420595,45.8645424527914,0.766345628251676,-2.13241333333333,0.832722147,4.74096427418008,114.544600845135,"co-dominant"
"1977","caco","canopy","50488",0.39,"ring",17.2184357420595,45.8645424527914,0.766345628251676,-2.13241333333333,0.832722147,4.74566583427494,115.084407141067,"co-dominant"
"1999","caco","canopy","50488",0.9,"ring",17.2184357420595,45.8645424527914,0.766345628251676,-2.13241333333333,0.832722147,4.75018688001198,115.605886938131,"co-dominant"
"1966","cagl","canopy","60059",0.69,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.79687844022969,121.1317068792,"dominant"
"1977","cagl","canopy","60059",0.72,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.80107558557403,121.641182682868,"dominant"
"1999","cagl","canopy","60059",0.78,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.8087549792158,122.578909184828,"dominant"
"1966","cagl","canopy","80625",0.78,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.57483893665424,97.0124127347719,"co-dominant"
"1977","cagl","canopy","80625",0.52,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.57881533739775,97.3989409511356,"co-dominant"
"1999","cagl","canopy","80625",0.74,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.583795792451,97.8852419937975,"co-dominant"
"1966","cagl","canopy","121105",0.88,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.756974325594,116.393224587731,"co-dominant"
"1977","cagl","canopy","121105",1.05,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.76139851305543,116.909310821872,"co-dominant"
"1999","cagl","canopy","121105",0.71,"ring",21.0911083494444,42.7586005249738,0.798065166700126,-2.12825333333333,0.617427201,4.77205928030139,118.162320930761,"co-dominant"
