"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1964.1966","coef_1964.1966","coef_var_1964.1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"year","drought.year","resist.value ~ (1|sp/tree)","resist.value ~ (1|sp/tree)+year","resist.value ~ (1|sp)","resist.value ~ (1|sp)",35.834,"-","year1977 (-0.0905), year1999 (-0.0814)",0,"+","",0,"+","",0,"+",""
2.1,"dbh.ln.cm","ln[DBH]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+dbh.ln.cm","resist.value ~ (1|sp)","resist.value ~ (1|sp)+dbh.ln.cm",7.411,"-","dbh.ln.cm (-0.0349)",18.276,"-","dbh.ln.cm (-0.0825)",-0.947,"-","dbh.ln.cm (-0.0206)",-1.918,"+","dbh.ln.cm (0.0059)"
2.2,"height.ln.m","ln[height]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+height.ln.m","resist.value ~ (1|sp)","resist.value ~ (1|sp)+height.ln.m",7.591,"-","height.ln.m (-0.0576)",17.788,"-","height.ln.m (-0.1331)",-1.077,"-","height.ln.m (-0.0317)",-2.022,"+","height.ln.m (0.0024)"
2.3,"position_all","crown.position alone","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+position_all","resist.value ~ (1|sp)","resist.value ~ (1|sp)+position_all",-1.46,"-","position_alldominant (-0.0524), position_allintermediate (-0.0114), position_allsuppressed (0.0114)",4.487,"-","position_alldominant (-0.0669), position_allintermediate (0.0561), position_allsuppressed (0.0593)",0.15,"-","position_alldominant (-0.0777), position_allintermediate (-0.0277), position_allsuppressed (0.0401)",0.444,"-","position_alldominant (-0.0107), position_allintermediate (-0.0562), position_allsuppressed (-0.0491)"
1.2,"position_all","crown.position w/height","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+position_all","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+position_all",1.682,"-","position_alldominant (-0.0439), position_allintermediate (-0.0423), position_allsuppressed (-0.0525)",-2.548,"-","position_alldominant (-0.0547), position_allintermediate (0.007), position_allsuppressed (-0.0437)",-0.7,"-","position_alldominant (-0.0761), position_allintermediate (-0.0331), position_allsuppressed (0.029)",4.087,"-","position_alldominant (-0.003), position_allintermediate (-0.0822), position_allsuppressed (-0.1023)"
1.3,"height.ln.m*TWI.ln","ln[height]*ln[topographic.wetness.index]","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value~height.ln.m*TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value~height.ln.m*TWI.ln+(1|sp)",-2.018,"-","height.ln.m:TWI.ln (-0.0047)",0.035,"-","height.ln.m:TWI.ln (-0.1736)",-1.767,"+","height.ln.m:TWI.ln (0.0604)",-1.785,"+","height.ln.m:TWI.ln (0.0572)"
2.4,"TWI.ln","ln[topographic.wetness.index]","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+TWI.ln","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+TWI.ln",2.88,"-","TWI.ln (-0.0683)",-1.281,"+","TWI.ln (0.0452)",4.728,"-","TWI.ln (-0.1377)",2.621,"-","TWI.ln (-0.1009)"
3.1,"rp","ring.porosity","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+rp","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+rp",-3.553,"+","rpring (0.0395), rpsemi-ring (0.0126)",-2.161,"+","rpring (0.1007), rpsemi-ring (0.0147)",0.895,"-","rpring (-0.1905), rpsemi-ring (-0.1466)",4.083,"+","rpring (0.2005), rpsemi-ring (0.1509)"
3.2,"PLA_dry_percent","percent.loss.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+PLA_dry_percent","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+PLA_dry_percent",4.413,"-","PLA_dry_percent (-0.0109)",5.825,"-","PLA_dry_percent (-0.0162)",-0.19,"-","PLA_dry_percent (-0.01)",-0.701,"-","PLA_dry_percent (-0.0075)"
3.3,"LMA_g_per_m2","leaf.mass.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+LMA_g_per_m2","resist.value ~ height.ln.m+(1|sp)","resist.value ~ height.ln.m+(1|sp)+LMA_g_per_m2",-1.895,"+","LMA_g_per_m2 (6e-04)",-1.075,"+","LMA_g_per_m2 (0.0021)",-1.698,"-","LMA_g_per_m2 (-0.0015)",-1.985,"+","LMA_g_per_m2 (5e-04)"
