"Modnames","Delta_AICc","scenario","coef"
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp/tree)",0.18,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0.23,"trees_all_sub",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp/tree)",0.57,"trees_all_sub",NA
"resist.value ~ height.ln.m+rp+PLA_dry_percent+(1|sp)",0,"x1966",NA
"resist.value ~ height.ln.m+PLA_dry_percent+(1|sp)",0.9,"x1966",NA
"resist.value ~ position_all+height.ln.m+rp+PLA_dry_percent+(1|sp)",1.58,"x1966",NA
"resist.value ~ TWI.ln+rp+PLA_dry_percent+(1|sp)",0,"x1977",NA
"resist.value ~ position_all+TWI.ln+rp+PLA_dry_percent+(1|sp)",0.8,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp)",1.52,"x1977",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp)",0,"x1999",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+(1|sp)",0.46,"x1999",NA
"resist.value ~ TWI.ln+rp+PLA_dry_percent+(1|sp)",0.96,"x1999",NA
"resist.value ~ position_all+height.ln.m+rp+PLA_dry_percent+(1|sp)",1.19,"x1999",NA
"resist.value ~ position_all+height.ln.m+rp+(1|sp)",1.85,"x1999",NA
