"Modnames","Delta_AICc","scenario","coef"
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",0,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp/tree)",0.37,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0.59,"trees_all_sub",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp/tree)",0.73,"trees_all_sub",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)",0.81,"trees_all_sub",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp/tree)",1.05,"trees_all_sub",NA
"resist.value ~ height.ln.m+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",0,"x1966",NA
"resist.value ~ height.ln.m+rp+PLA_dry_percent+(1|sp)",0.84,"x1966",NA
"resist.value ~ height.ln.m+PLA_dry_percent+(1|sp)",1.44,"x1966",NA
"resist.value ~ position_all+height.ln.m+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.6,"x1966",NA
"resist.value ~ height.ln.m+TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.97,"x1966",NA
"resist.value ~ position_all+TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0,"x1977",NA
"resist.value ~ TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0.09,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+rp+mean_TLP_Mpa+(1|sp)",1.51,"x1977",NA
"resist.value ~ TWI.ln+rp+PLA_dry_percent+(1|sp)",0,"x1999",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp)",0.12,"x1999",NA
"resist.value ~ TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0.37,"x1999",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+mean_TLP_Mpa+(1|sp)",0.54,"x1999",NA
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+(1|sp)",0.91,"x1999",NA
"resist.value ~ TWI.ln+rp+(1|sp)",1.14,"x1999",NA
"resist.value ~ position_all+height.ln.m+rp+PLA_dry_percent+(1|sp)",1.48,"x1999",NA
"resist.value ~ position_all+TWI.ln+rp+PLA_dry_percent+(1|sp)",1.59,"x1999",NA
"resist.value ~ position_all+height.ln.m+rp+mean_TLP_Mpa+(1|sp)",1.71,"x1999",NA
"resist.value ~ position_all+TWI.ln+rp+mean_TLP_Mpa+(1|sp)",1.82,"x1999",NA
"resist.value ~ TWI.ln+rp+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.88,"x1999",NA
