"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1964.1966","coef_1964.1966","coef_var_1964.1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"rp","ring.porosity","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)+rp","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)+rp",-5.287,"+","rpring (0.043)",0.812,"+","rpring (0.1496)",2.765,"-","rpring (-0.1771)",2.513,"+","rpring (0.1587)"
3.2,"PLA_dry_percent","percent.loss.area","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)+PLA_dry_percent","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)+PLA_dry_percent",-5.061,"-","PLA_dry_percent (-0.0121)",10.344,"-","PLA_dry_percent (-0.024)",-0.912,"-","PLA_dry_percent (-0.0086)",-1.69,"-","PLA_dry_percent (-0.0046)"
3.3,"LMA_g_per_m2","leaf.mass.area","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)+LMA_g_per_m2","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)+LMA_g_per_m2",-12.72,"-","LMA_g_per_m2 (-3e-04)",-2.047,"+","LMA_g_per_m2 (5e-04)",-0.569,"-","LMA_g_per_m2 (-0.0032)",-1.901,"+","LMA_g_per_m2 (0.001)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)+mean_TLP_Mpa","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)+mean_TLP_Mpa",-2.541,"-","mean_TLP_Mpa (-0.1529)",-1.921,"-","mean_TLP_Mpa (-0.0646)",-0.282,"-","mean_TLP_Mpa (-0.2012)",-0.157,"-","mean_TLP_Mpa (-0.1898)"
3.5,"WD_g_per_cm3","wood.density","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)","resist.value ~ height.ln.m*TWI.ln+position_all+year+(1|sp/tree)+WD_g_per_cm3","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)","resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)+WD_g_per_cm3",-3.938,"-","WD_g_per_cm3 (-0.0385)",-0.204,"-","WD_g_per_cm3 (-0.2971)",-1.686,"-","WD_g_per_cm3 (-0.1332)",0.738,"+","WD_g_per_cm3 (0.313)"
