"GVIF","Df","GVIF^(1/(2*Df))","scen"
2.02739538165171,1,1.42386634964512,"all droughts"
1.01951337521786,1,1.00970954992902,"all droughts"
1.99755050036727,3,1.12223280876645,"all droughts"
1.00300812421994,1,1.00150293270661,"all droughts"
1.03118466874197,1,1.01547263318219,"all droughts"
1.98902221238191,1,1.4103269877521,"1966"
1.02477785304405,1,1.01231312005923,"1966"
1.97546924115413,3,1.12015566258276,"1966"
1.00428729352926,1,1.00214135406601,"1966"
1.97820868114223,1,1.40648806647701,"1977"
1.01745395712503,1,1.00868922722761,"1977"
1.98546204410229,3,1.12109805261328,"1977"
1.00811965483037,1,1.00405161960448,"1977"
2.06021219063426,1,1.4353439276474,"1999"
1.01425510860956,1,1.00710233273961,"1999"
2.06383494037321,3,1.12835517948768,"1999"
1.00714189017898,1,1.00356459193167,"1999"
