Hypotheses & Specific Predictions,Overall,1966,1977,1999,Results
Taller trees experience greater evaporative demand during the peak growing season months.,yes,-,-,-,Fig. 3
Taller trees have more exposed crowns. ,yes,-,-,-,Fig. 3
Rt decreases with height (H).,yes,yes,(yes),-*,"Fig. 4; Tables S6, S7"
There is a negative interactive effect between H and topographic wetness index.,(no),-,-*,-,"Tables S6, S7"
Wood density correlates (positively or negatively) to Rt.,-,-,-,-,"Tables S4, S5"
Leaf mass per area correlates positively to Rt.,-,-,-,-,"Tables S4, S5"
Ring-porous species have higher Rt than diffuse- or semi-ring- porous.,-,yes*,-**,yes,"Tables S4, S5"
Percent loss leaf area upon desiccation correlates negatively with Rt.,yes,yes,(yes),(yes),"Fig. 4; Tables S6, S7"
Water potential at turgor loss correlates negatively with Rt.,(yes),-*,(yes),(yes),"Fig. 4; Tables S6, S7"
