"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1966","coef_1966","coef_var_1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"rp","ring.porosity","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+rp","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value ~ height.ln.m+TWI.ln+(1|sp)+rp",-0.801,"+","rpring (0.0625)",2.287,"+","rpring (0.1882)",1.916,"-","rpring (-0.152)",3.356,"+","rpring (0.1498)"
3.2,"PLA_dry_percent","percent.loss.area","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+PLA_dry_percent","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value ~ height.ln.m+TWI.ln+(1|sp)+PLA_dry_percent",6.695,"-","PLA_dry_percent (-0.0135)",9.125,"-","PLA_dry_percent (-0.0248)",-0.322,"-","PLA_dry_percent (-0.0097)",-0.951,"-","PLA_dry_percent (-0.0068)"
3.3,"LMA_g_per_m2","leaf.mass.area","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+LMA_g_per_m2","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value ~ height.ln.m+TWI.ln+(1|sp)+LMA_g_per_m2",-2.01,"+","LMA_g_per_m2 (2e-04)",-1.896,"+","LMA_g_per_m2 (0.0012)",-1.681,"-","LMA_g_per_m2 (-0.0015)",-2.027,"+","LMA_g_per_m2 (3e-04)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+mean_TLP_Mpa","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value ~ height.ln.m+TWI.ln+(1|sp)+mean_TLP_Mpa",1.332,"-","mean_TLP_Mpa (-0.1742)",-1.654,"-","mean_TLP_Mpa (-0.1071)",1.225,"-","mean_TLP_Mpa (-0.2453)",-0.098,"-","mean_TLP_Mpa (-0.1686)"
3.5,"WD_g_per_cm3","wood.density","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+WD_g_per_cm3","resist.value ~ height.ln.m+TWI.ln+(1|sp)","resist.value ~ height.ln.m+TWI.ln+(1|sp)+WD_g_per_cm3",-1.974,"-","WD_g_per_cm3 (-0.0306)",-1.261,"-","WD_g_per_cm3 (-0.2063)",-1.44,"-","WD_g_per_cm3 (-0.1542)",0.659,"+","WD_g_per_cm3 (0.2716)"
