"Modnames","Delta_AICc","scenario","coef"
"metric.value ~ height.ln.m*TWI.ln+year+(1|sp/tree)",0,"trees_all_sub",NA
"metric.value ~ height.ln.m+year+(1|sp/tree)",1,"trees_all_sub",NA
"metric.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+year+(1|sp/tree)",1.13,"trees_all_sub",NA
"metric.value ~ height.ln.m*TWI.ln+PLA_dry_percent+year+(1|sp/tree)",1.99,"trees_all_sub",NA
"metric.value ~ height.ln.m*TWI.ln+(1|sp)",0,"x1966",NA
"metric.value ~ (1|sp)",1.04,"x1966",NA
"metric.value ~ height.ln.m*TWI.ln+PLA_dry_percent+(1|sp)",1.37,"x1966",NA
"metric.value ~ TWI.ln+(1|sp)",1.79,"x1966",NA
"metric.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+(1|sp)",1.96,"x1966",NA
"metric.value ~ height.ln.m+mean_TLP_Mpa+(1|sp)",0,"x1977",NA
"metric.value ~ height.ln.m+PLA_dry_percent+(1|sp)",0.3,"x1977",NA
"metric.value ~ height.ln.m+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",0.72,"x1977",NA
"metric.value ~ height.ln.m*TWI.ln+PLA_dry_percent+(1|sp)",0.81,"x1977",NA
"metric.value ~ height.ln.m+TWI.ln+PLA_dry_percent+(1|sp)",0.88,"x1977",NA
"metric.value ~ height.ln.m+TWI.ln+mean_TLP_Mpa+(1|sp)",0.89,"x1977",NA
"metric.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+(1|sp)",0.91,"x1977",NA
"metric.value ~ height.ln.m*TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.31,"x1977",NA
"metric.value ~ height.ln.m+(1|sp)",1.33,"x1977",NA
"metric.value ~ height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.37,"x1977",NA
"metric.value ~ height.ln.m+TWI.ln+(1|sp)",1.97,"x1977",NA
"metric.value ~ (1|sp)",0,"x1999",NA
"metric.value ~ TWI.ln+(1|sp)",0.53,"x1999",NA
"metric.value ~ mean_TLP_Mpa+(1|sp)",1.09,"x1999",NA
"metric.value ~ TWI.ln+mean_TLP_Mpa+(1|sp)",1.61,"x1999",NA
"metric.value ~ height.ln.m+(1|sp)",1.75,"x1999",NA
"metric.value ~ PLA_dry_percent+(1|sp)",2,"x1999",NA
