"year","sp","tree","position","resist.value","elev.m","distance.ln.m","dbh.ln.cm","height.ln.m","position_all","TWI"
"1966","caco","132018","canopy",0.7,293,3.16895055867144,3.47054446893489,3.15219993089939,"co-dominant",9.44537694949331
"1977","caco","132018","canopy",0.66,293,3.16895055867144,3.52251223189217,3.19418988336887,"co-dominant",9.44537694949331
"1999","caco","132018","canopy",0.92,293,3.16895055867144,3.61225450596679,3.26670164082117,"co-dominant",9.44537694949331
"1966","caco","50488","canopy",1.1,287,3.687910665193,3.44333078623675,3.13021127527929,"co-dominant",9.27384068954015
"1977","caco","50488","canopy",0.39,287,3.687910665193,3.48545084131145,3.16424427977965,"co-dominant",9.27384068954015
"1999","caco","50488","canopy",0.9,287,3.687910665193,3.52455932677987,3.19584393603814,"co-dominant",9.27384068954015
"1966","cagl","60059","canopy",0.69,304,4.19189246491838,3.80210454068679,3.3576815966435,"dominant",5.18468136560841
"1977","cagl","60059","canopy",0.72,304,4.19189246491838,3.84739669490248,3.38956727321135,"dominant",5.18468136560841
"1999","cagl","60059","canopy",0.78,304,4.19189246491838,3.92592414083285,3.44485059514633,"dominant",5.18468136560841
"1966","cagl","80625","canopy",0.78,295,4.4923388178062,3.51869144072089,3.15815877426751,"co-dominant",6.89303965795485
"1977","cagl","80625","canopy",0.52,295,4.4923388178062,3.56035053899284,3.18748677945096,"co-dominant",6.89303965795485
"1999","cagl","80625","canopy",0.74,295,4.4923388178062,3.61049594709558,3.22278914675529,"co-dominant",6.89303965795485
"1966","cagl","121105","canopy",0.88,317,5.14060168177135,3.7076990092373,3.29122010250306,"co-dominant",5.52904979068728
"1977","cagl","121105","canopy",1.05,317,5.14060168177135,3.75719218944117,3.32606330136659,"co-dominant",5.52904979068728
"1999","cagl","121105","canopy",0.71,317,5.14060168177135,3.86836085561112,3.40432604235023,"co-dominant",5.52904979068728
"1966","cagl","131113","canopy",0.81,312,4.82254279160326,3.81727715200595,3.36836311501219,"co-dominant",5.35847399339884
"1977","cagl","131113","canopy",0.75,312,4.82254279160326,3.85231156448627,3.39302734139834,"co-dominant",5.35847399339884
"1999","cagl","131113","canopy",1.05,312,4.82254279160326,3.90747976523945,3.43186575472857,"co-dominant",5.35847399339884
"1966","cagl","70256","canopy",1.09,308,4.4300785984353,2.74570555897742,2.6139767135201,"co-dominant",5.12230133841115
"1977","cagl","70256","canopy",0.75,308,4.4300785984353,2.88156964448391,2.70962502971667,"co-dominant",5.12230133841115
"1999","cagl","70256","canopy",0.83,308,4.4300785984353,3.01969093535984,2.80686241849333,"co-dominant",5.12230133841115
"1966","cagl","50246","canopy",0.6,298,4.1815095785776,3.11286390807629,2.87245619128571,"co-dominant",5.70175582913746
"1977","cagl","50246","canopy",0.7,298,4.1815095785776,3.13907296626634,2.8909073682515,"co-dominant",5.70175582913746
"1999","cagl","50246","canopy",0.67,298,4.1815095785776,3.19932658709369,2.93332591731396,"co-dominant",5.70175582913746
"1966","cagl","111094","canopy",0.78,304,4.79355604713186,3.34645921588449,3.03690728798268,"co-dominant",5.22032663457947
"1977","cagl","111094","canopy",1.1,304,4.79355604713186,3.40448199019299,3.07775532109586,"co-dominant",5.22032663457947
