"year","sp","tree","position","resist.value","elev.m","distance.ln.m","dbh.ln.cm","height.ln.m","position_all","TWI"
"1999","cagl","111094","canopy",1.26,304,4.79355604713186,3.50848035414026,3.15097016931474,"co-dominant",5.22032663457947
"1966","cagl","152053","canopy",1.66,298,3.92513927805458,2.81387320745727,2.66196673804992,"co-dominant",4.36992703538662
"1977","cagl","152053","canopy",0.88,298,3.92513927805458,2.91332583394531,2.7319813870975,"co-dominant",4.36992703538662
"1999","cagl","152053","canopy",1.32,298,3.92513927805458,3.01673559096779,2.80478185604132,"co-dominant",4.36992703538662
"1966","cagl","70269","canopy",0.97,308,4.51093534649041,3.58440084666879,3.20441819605483,"co-dominant",5.05109935435226
"1977","cagl","70269","canopy",0.59,308,4.51093534649041,3.63072051722279,3.23702724412484,"co-dominant",5.05109935435226
"1999","cagl","70269","canopy",0.76,308,4.51093534649041,3.68740878081673,3.27693578169498,"co-dominant",5.05109935435226
"1966","caovl","80640","canopy",0.93,291,4.22820663312008,3.91382410547577,3.4467810041535,"co-dominant",6.96279253255791
"1977","caovl","80640","canopy",0.62,291,4.22820663312008,3.95254875568468,3.47474020160434,"co-dominant",6.96279253255791
"1999","caovl","80640","canopy",1.94,291,4.22820663312008,3.99675643879549,3.50665814881035,"co-dominant",6.96279253255791
"1966","caovl","70162","canopy",0.78,299,4.42855129102261,3.71509331881286,3.30329737618288,"co-dominant",5.34260840565491
"1977","caovl","70162","canopy",0.61,299,4.42855129102261,3.74739292518274,3.32661769198194,"co-dominant",5.34260840565491
"1999","caovl","70162","canopy",1.72,299,4.42855129102261,3.79585474659251,3.36160712703979,"co-dominant",5.34260840565491
"1966","caovl","91302","canopy",0.8,310,4.89572676680499,3.91439241818196,3.44719132592738,"co-dominant",5.20222786183411
"1977","caovl","91302","canopy",0.67,310,4.89572676680499,3.9802394981361,3.49473291765426,"co-dominant",5.20222786183411
"1999","caovl","91302","canopy",0.8,310,4.89572676680499,4.06820357860704,3.55824298375429,"co-dominant",5.20222786183411
"1966","caovl","91332","canopy",0.94,304,4.79966877225958,3.65654400986188,3.26102477512028,"dominant",6.25977611545248
"1977","caovl","91332","canopy",0.79,304,4.79966877225958,3.71705029489728,3.30471031291584,"dominant",6.25977611545248
"1999","caovl","91332","canopy",0.93,304,4.79966877225958,3.82564873040802,3.38311838335459,"dominant",6.25977611545248
"1966","caovl","50336","canopy",0.58,294,3.84824066737852,3.37637481608588,3.05874261721401,"co-dominant",5.91095289896059
"1977","caovl","50336","canopy",0.92,294,3.84824066737852,3.40266564364888,3.07772459471449,"co-dominant",5.91095289896059
"1999","caovl","50336","canopy",0.99,294,3.84824066737852,3.47788670428535,3.13203420049402,"co-dominant",5.91095289896059
"1966","caovl","80554","canopy",0.95,289,4.05516697041827,3.56185341642418,3.19265816665826,"dominant",6.26964133114252
"1977","caovl","80554","canopy",0.45,289,4.05516697041827,3.65190418288486,3.25767482004287,"dominant",6.26964133114252
"1999","caovl","80554","canopy",0.79,289,4.05516697041827,3.75813612858798,3.33437428484052,"dominant",6.26964133114252
"1966","caovl","50356","canopy",0.78,291,3.77804268183216,3.3943102619554,3.0716920091318,"dominant",6.36103582716175
"1977","caovl","50356","canopy",0.57,291,3.77804268183216,3.46035409411413,3.1193756559504,"dominant",6.36103582716175
"1999","caovl","50356","canopy",1.02,291,3.77804268183216,3.60083028922243,3.22079946881859,"dominant",6.36103582716175
"1966","caovl","90552","canopy",0.72,296,4.57065072539805,3.55718452419476,3.18928722646861,"co-dominant",5.30259911551131
"1977","caovl","90552","canopy",0.57,296,4.57065072539805,3.60477263819128,3.2236458447741,"co-dominant",5.30259911551131
"1999","caovl","90552","canopy",1.1,296,4.57065072539805,3.66721736643628,3.26873093856699,"co-dominant",5.30259911551131
"1966","fagr","60111","canopy",1.17,300,4.37626401108475,3.47031913373254,3.00535126653094,"co-dominant",5.62619606296195
"1977","fagr","60111","canopy",1.24,300,4.37626401108475,3.53432869426534,3.04772559560365,"co-dominant",5.62619606296195
"1999","fagr","60111","canopy",0.83,300,4.37626401108475,3.63955789878123,3.11738732899317,"co-dominant",5.62619606296195
"1966","fagr","152529","canopy",0.92,322,5.26882402594784,2.68040490028189,2.48242804398661,"co-dominant",4.44617377422235
"1977","fagr","152529","canopy",0.84,322,5.26882402594784,2.84368770764431,2.59052126246053,"co-dominant",4.44617377422235
"1999","fagr","152529","canopy",0.58,322,5.26882402594784,3.20164827920157,2.82749116083144,"co-dominant",4.44617377422235
"1977","fagr","30483","canopy",0.99,283,3.56755989812051,2.27295028786435,2.2126930905662,"co-dominant",6.93493718052542
"1999","fagr","30483","canopy",0.66,283,3.56755989812051,2.59368631349148,2.42502033953136,"co-dominant",6.93493718052542
"1966","fagr","50557","canopy",1.29,279,0.811650598076371,2.74624474690018,2.52601402244792,"co-dominant",8.47503157321151
"1977","fagr","50557","canopy",1.08,279,0.811650598076371,2.87706134383631,2.61261460961964,"co-dominant",8.47503157321151
"1999","fagr","50557","canopy",0.9,279,0.811650598076371,3.15525421657088,2.79677829136992,"co-dominant",8.47503157321151
"1966","fagr","40563","canopy",0.54,289,3.30785706887083,3.18948820797361,2.81944119367853,"co-dominant",6.3356395753546
"1977","fagr","40563","canopy",1.05,289,3.30785706887083,3.27143032360309,2.87368687422525,"co-dominant",6.3356395753546
"1999","fagr","40563","canopy",1.13,289,3.30785706887083,3.44217936338378,2.98672273856006,"co-dominant",6.3356395753546
"1966","fagr","30233","canopy",0.72,289,3.04516336834326,4.58000621232454,3.73996411255885,"co-dominant",6.54616057761143
"1977","fagr","30233","canopy",0.55,289,3.04516336834326,4.59510974907347,3.74996265388664,"co-dominant",6.54616057761143
"1999","fagr","30233","canopy",0.62,289,3.04516336834326,4.61553627198727,3.76348501205557,"co-dominant",6.54616057761143
"1966","fagr","30214","canopy",1.18,293,3.55674725384171,1.92278773163446,1.98088547834201,"co-dominant",5.71261974149824
"1977","fagr","30214","canopy",0.81,293,3.55674725384171,2.06483538929047,2.07492102771029,"co-dominant",5.71261974149824
"1999","fagr","30214","canopy",0.78,293,3.55674725384171,2.30975929674205,2.23706065444323,"co-dominant",5.71261974149824
"1966","fram","192697","canopy",1.01,338,5.78273209880638,3.44606509682746,2.8481142949362,"co-dominant",4.9580033138593
"1977","fram","192697","canopy",0.76,338,5.78273209880638,3.52123370386265,2.89464366269098,"co-dominant",4.9580033138593
"1999","fram","192697","canopy",1.31,338,5.78273209880638,3.59774203357578,2.94200231878341,"co-dominant",4.9580033138593
"1966","fram","142178","canopy",0.88,296,4.01848758041776,3.8338851471848,3.08817490610739,"co-dominant",10.7193308486063
"1977","fram","142178","canopy",0.66,296,4.01848758041776,3.87229163338249,3.11194852106376,"co-dominant",10.7193308486063
"1999","fram","142178","canopy",0.84,296,4.01848758041776,3.95155168086076,3.16101049045281,"co-dominant",10.7193308486063
"1966","fram","171358","canopy",1.6,298,2.661945618428,4.39610210391366,3.43618720232256,"co-dominant",7.35622858712251
"1977","fram","171358","canopy",1.32,298,2.661945618428,4.41884420169221,3.45026456084748,"co-dominant",7.35622858712251
"1999","fram","171358","canopy",1.02,298,2.661945618428,4.46217717967236,3.47708767421719,"co-dominant",7.35622858712251
"1966","fram","202536","canopy",0.87,323,5.57364188427073,3.50625447719738,2.88537152138518,"co-dominant",5.60045113719761
"1977","fram","202536","canopy",1.29,323,5.57364188427073,3.53872693235242,2.90547197112615,"co-dominant",5.60045113719761
"1999","fram","202536","canopy",1.27,323,5.57364188427073,3.66383258430768,2.98291236968646,"co-dominant",5.60045113719761
"1966","fram","182396","canopy",0.64,313,5.21076049082073,3.38791912313069,2.81212193721789,"co-dominant",7.29291811316673
"1977","fram","182396","canopy",0.85,313,5.21076049082073,3.43838745533195,2.84336183485048,"co-dominant",7.29291811316673
"1999","fram","182396","canopy",0.84,313,5.21076049082073,3.5253828731287,2.89721199846666,"co-dominant",7.29291811316673
"1966","fram","101292","canopy",0.83,285,3.01293096060558,3.84342154072424,3.0940779337083,"co-dominant",11.0724296294133
"1977","fram","101292","canopy",0.93,285,3.01293096060558,3.89801623284984,3.12787204813405,"co-dominant",11.0724296294133
"1999","fram","101292","canopy",0.85,285,3.01293096060558,3.97829497454126,3.17756458924104,"co-dominant",11.0724296294133
"1966","fram","182678","canopy",1.02,328,5.56721635785184,2.45960118765574,2.2374931351589,"co-dominant",4.795192450584
"1977","fram","182678","canopy",1.04,328,5.56721635785184,2.53010308860363,2.28113381184565,"co-dominant",4.795192450584
"1999","fram","182678","canopy",1.12,328,5.56721635785184,2.67253898410726,2.36930163116239,"co-dominant",4.795192450584
"1966","fram","10539","canopy",0.84,291,3.71083801609174,3.68409044461594,2.99545198521727,"co-dominant",4.42683914541166
"1977","fram","10539","canopy",0.68,291,3.71083801609174,3.73178760121092,3.02497652514956,"co-dominant",4.42683914541166
"1999","fram","10539","canopy",0.89,291,3.71083801609174,3.81290705003615,3.07518946397238,"co-dominant",4.42683914541166
"1966","fram","202775","canopy",1.03,321,5.52817694404408,4.23118974997201,3.33410645523267,"co-dominant",6.45178431668543
"1977","fram","202775","canopy",0.82,321,5.52817694404408,4.27109610579224,3.3588084894854,"co-dominant",6.45178431668543
"1999","fram","202775","canopy",0.96,321,5.52817694404408,4.33998520102785,3.40145083943624,"co-dominant",6.45178431668543
"1966","fram","132525","canopy",0.86,327,5.48073277619118,3.80063692855883,3.06759425877792,"co-dominant",5.68569777620149
"1977","fram","132525","canopy",0.69,327,5.48073277619118,3.84244820761487,3.0934754405136,"co-dominant",5.68569777620149
"1999","fram","132525","canopy",1.05,327,5.48073277619118,3.91459525512853,3.13813446292456,"co-dominant",5.68569777620149
"1966","fram","40131","canopy",0.99,292,3.38734508981485,3.98456041640262,3.18144289775322,"co-dominant",6.98383308409766
"1977","fram","40131","canopy",0.65,292,3.38734508981485,4.02389085128438,3.20578843694503,"co-dominant",6.98383308409766
"1999","fram","40131","canopy",0.89,292,3.38734508981485,4.08501728130646,3.2436256971287,"co-dominant",6.98383308409766
"1966","fram","140881","canopy",0.6,295,3.41625609424771,4.00013645632188,3.19108446646324,"co-dominant",8.22176743837816
"1977","fram","140881","canopy",0.89,295,3.41625609424771,4.02655545966972,3.20743782953556,"co-dominant",8.22176743837816
"1999","fram","140881","canopy",0.94,295,3.41625609424771,4.08020792134668,3.2406487033136,"co-dominant",8.22176743837816
"1966","fram","192260","canopy",1.47,310,4.73883568493165,3.71313083899065,3.01342798933521,"co-dominant",5.56996665194505
"1977","fram","192260","canopy",0.59,310,4.73883568493165,3.83447431824715,3.08853960299499,"co-dominant",5.56996665194505
"1999","fram","192260","canopy",1.12,310,4.73883568493165,3.97935138904597,3.17821850981946,"co-dominant",5.56996665194505
"1966","fram","20432","canopy",1.5,289,2.00162004536165,3.70575757314809,3.00886393777867,"co-dominant",9.96311317963306
"1977","fram","20432","canopy",0.82,289,2.00162004536165,3.82436648533165,3.08228285442029,"co-dominant",9.96311317963306
"1999","fram","20432","canopy",1.19,289,2.00162004536165,3.95292737667051,3.16186204615905,"co-dominant",9.96311317963306
"1966","fram","30039","canopy",0.95,292,2.06441666215851,4.35774797179141,3.41244599453888,"co-dominant",5.4617859281424
"1977","fram","30039","canopy",0.6,292,2.06441666215851,4.41354540537183,3.44698460592516,"co-dominant",5.4617859281424
"1999","fram","30039","canopy",0.88,292,2.06441666215851,4.49697935127811,3.49863021844115,"co-dominant",5.4617859281424
"1966","fram","30109","canopy",1.22,293,2.31575164458556,3.34193565108311,2.78365816802044,"co-dominant",5.22837291511518
"1977","fram","30109","canopy",0.53,293,2.31575164458556,3.59738198124119,2.9417794463883,"co-dominant",5.22837291511518
"1999","fram","30109","canopy",0.88,293,2.31575164458556,3.87713075052234,3.11494393457333,"co-dominant",5.22837291511518
"1966","fram","40853","canopy",1.03,281,2.37531048093205,3.6789498129202,2.99226993419761,"co-dominant",12.8624239407822
"1977","fram","40853","canopy",0.85,281,2.37531048093205,3.70657677823288,3.00937102572615,"co-dominant",12.8624239407822
"1999","fram","40853","canopy",0.74,281,2.37531048093205,3.73959494471008,3.02980927077554,"co-dominant",12.8624239407822
"1966","juni","112323","canopy",1.1,316,5.05622652426232,3.92812605798661,3.14478176841344,"co-dominant",5.78069852265538
"1977","juni","112323","canopy",0.66,316,5.05622652426232,3.97934764242888,3.16988034479015,"co-dominant",5.78069852265538
"1999","juni","112323","canopy",0.65,316,5.05622652426232,4.06075496526692,3.20976993298079,"co-dominant",5.78069852265538
"1966","juni","10122","canopy",0.91,294,2.97689049444955,4.20209254033959,3.2790253447664,"co-dominant",4.98121664219899
"1977","juni","10122","canopy",1.18,294,2.97689049444955,4.23254001279306,3.2939446062686,"co-dominant",4.98121664219899
"1999","juni","10122","canopy",1.18,294,2.97689049444955,4.28654584051855,3.32040746185409,"co-dominant",4.98121664219899
"1966","juni","162575","canopy",0.66,331,5.5341308524791,3.82712592178505,3.09529170167468,"co-dominant",5.57924600220913
"1977","juni","162575","canopy",0.61,331,5.5341308524791,3.85200530276902,3.10748259835682,"co-dominant",5.57924600220913
"1999","juni","162575","canopy",0.99,331,5.5341308524791,3.88479719153901,3.12355062385412,"co-dominant",5.57924600220913
"1966","juni","10010","canopy",1.43,296,3.31497175567767,3.71880398414082,3.042213952229,"co-dominant",5.10319912845256
"1977","juni","10010","canopy",0.93,296,3.31497175567767,3.8021708400347,3.083063711617,"co-dominant",5.10319912845256
"1999","juni","10010","canopy",0.54,296,3.31497175567767,3.96007513019292,3.16043681379453,"co-dominant",5.10319912845256
"1966","juni","30315","canopy",1.03,288,2.80081490788673,2.83677800745624,2.61002122365356,"co-dominant",7.48314611473523
"1977","juni","30315","canopy",0.69,288,2.80081490788673,2.94887691872786,2.66494969017665,"co-dominant",7.48314611473523
"1999","juni","30315","canopy",0.99,288,2.80081490788673,3.10910377725958,2.74346085085719,"co-dominant",7.48314611473523
"1966","juni","10296","canopy",0.6,289,2.77678221490251,3.92245025617459,3.14200062552555,"co-dominant",5.41477264710473
"1977","juni","10296","canopy",1.05,289,2.77678221490251,3.94281142364611,3.1519775975866,"co-dominant",5.41477264710473
"1999","juni","10296","canopy",0.89,289,2.77678221490251,3.9792533355146,3.16983413440215,"co-dominant",5.41477264710473
"1966","juni","161554","canopy",0.7,298,2.17297533038984,3.4988438710564,2.93443349681764,"co-dominant",8.41232322032701
"1977","juni","161554","canopy",0.75,298,2.17297533038984,3.55246081503641,2.96070579936784,"co-dominant",8.41232322032701
"1999","juni","161554","canopy",0.61,298,2.17297533038984,3.65181380691676,3.00938876538921,"co-dominant",8.41232322032701
"1966","juni","190483","canopy",0.71,316,4.57247513909425,3.68419993180579,3.02525796658484,"co-dominant",6.01975119014187
"1977","juni","190483","canopy",1.12,316,4.57247513909425,3.69811660497502,3.03207713643776,"co-dominant",6.01975119014187
"1999","juni","190483","canopy",1.23,316,4.57247513909425,3.7292186825063,3.04731715442809,"co-dominant",6.01975119014187
"1966","juni","172637","canopy",1.06,340,5.81688911522935,3.2874611470027,2.83085596203132,"co-dominant",4.2430408125735
"1977","juni","172637","canopy",0.64,340,5.81688911522935,3.37432293019993,2.87341823579797,"co-dominant",4.2430408125735
"1999","juni","172637","canopy",0.72,340,5.81688911522935,3.47646369502616,2.92346721056282,"co-dominant",4.2430408125735
"1966","juni","201261","canopy",0.92,306,1.04092267077279,3.77929815493822,3.07185609591973,"co-dominant",5.21170585522735
"1977","juni","201261","canopy",0.92,306,1.04092267077279,3.78722522946921,3.07574036243991,"co-dominant",5.21170585522735
"1999","juni","201261","canopy",0.98,306,1.04092267077279,3.81014172647641,3.08696944597344,"co-dominant",5.21170585522735
"1966","juni","30226","canopy",1.12,288,3.13433292317339,3.54255286411527,2.95585090341648,"co-dominant",7.28195200090611
"1977","juni","30226","canopy",1.05,288,3.13433292317339,3.56341846791096,2.96607504927637,"co-dominant",7.28195200090611
"1999","juni","30226","canopy",1.43,288,3.13433292317339,3.62182838190158,2.99469590713177,"co-dominant",7.28195200090611
"1966","juni","190074","canopy",0.84,335,5.42616293060613,3.33834454366937,2.85578882639799,"co-dominant",5.56249718466835
"1977","juni","190074","canopy",0.88,335,5.42616293060613,3.44610526407125,2.90859157939491,"co-dominant",5.56249718466835
"1999","juni","190074","canopy",0.81,335,5.42616293060613,3.56771073540587,2.96817826034888,"co-dominant",5.56249718466835
"1966","juni","202941","canopy",0.75,333,5.7583719429781,3.82311674757234,3.09332720631045,"co-dominant",6.83074105554703
"1977","juni","202941","canopy",0.75,333,5.7583719429781,3.83651255730079,3.09989115307739,"co-dominant",6.83074105554703
"1999","juni","202941","canopy",1.68,333,5.7583719429781,3.86833624451672,3.11548475981319,"co-dominant",6.83074105554703
"1966","juni","172453","canopy",0.48,327,5.47548182232885,3.36627280640084,2.86947367513641,"co-dominant",4.76576579980107
"1977","juni","172453","canopy",1.01,327,5.47548182232885,3.38244583348056,2.87739845840547,"co-dominant",4.76576579980107
"1999","juni","172453","canopy",0.5,327,5.47548182232885,3.42109723257278,2.89633764396066,"co-dominant",4.76576579980107
"1966","juni","202585","canopy",0.5,337,5.80251884449082,3.62393500382671,2.99572815187509,"co-dominant",4.26907389950863
"1977","juni","202585","canopy",0.66,337,5.80251884449082,3.64504928783009,3.00607415103674,"co-dominant",4.26907389950863
"1999","juni","202585","canopy",0.84,337,5.80251884449082,3.68346337718659,3.02489705482143,"co-dominant",4.26907389950863
"1966","juni","152623","canopy",0.61,330,5.49957705698097,3.748132174414,3.05658476546286,"co-dominant",5.86791555358269
"1977","juni","152623","canopy",0.72,330,5.49957705698097,3.78935130557232,3.07678213973044,"co-dominant",5.86791555358269
"1999","juni","152623","canopy",0.79,330,5.49957705698097,3.8572655987347,3.11006014338,"co-dominant",5.86791555358269
"1966","juni","80694","canopy",0.81,281,3.37891796683208,3.44141342183779,2.90629257670052,"co-dominant",11.2447804454749
"1977","juni","80694","canopy",0.52,281,3.37891796683208,3.46052624758215,2.91565786131525,"co-dominant",11.2447804454749
"1999","juni","80694","canopy",0.69,281,3.37891796683208,3.49973109575869,2.93486823692176,"co-dominant",11.2447804454749
"1966","juni","122295","canopy",0.31,316,5.02977378644105,3.9652154173174,3.16295555448553,"co-dominant",6.46329502994813
"1977","juni","122295","canopy",0.83,316,5.02977378644105,3.97175565787076,3.16616027235667,"co-dominant",6.46329502994813
"1999","juni","122295","canopy",1.11,316,5.02977378644105,3.98603939358935,3.17315930285878,"co-dominant",6.46329502994813
"1966","juni","162355","canopy",1.01,304,4.78898262174231,3.69841698403239,3.03222432217587,"co-dominant",9.49351348445267
"1977","juni","162355","canopy",0.65,304,4.78898262174231,3.73033414671632,3.047863731891,"co-dominant",9.49351348445267
"1999","juni","162355","canopy",0.57,304,4.78898262174231,3.77892898208003,3.07167520121922,"co-dominant",9.49351348445267
"1966","juni","72424","canopy",0.74,305,5.13219946641207,4.02534240072142,3.19241777635349,"co-dominant",5.59008586502285
"1977","juni","72424","canopy",0.99,305,5.13219946641207,4.03167879851449,3.1955226112721,"co-dominant",5.59008586502285
"1999","juni","72424","canopy",1.22,305,5.13219946641207,4.0600770228324,3.20943774118788,"co-dominant",5.59008586502285
"1966","juni","150048","canopy",0.53,322,5.32955355982982,3.43438272409001,2.9028475348041,"co-dominant",7.05255710042277
"1977","juni","150048","canopy",0.57,322,5.32955355982982,3.53903216069108,2.95412575873863,"co-dominant",7.05255710042277
"1999","juni","150048","canopy",1.18,322,5.32955355982982,3.69794134185444,3.03199125750868,"co-dominant",7.05255710042277
"1966","litu","22545","canopy",0.73,287,4.65319434621037,3.83831987462028,3.33127961430103,"co-dominant",5.13655723095793
"1977","litu","22545","canopy",0.86,287,4.65319434621037,3.9043440315108,3.36587627251166,"co-dominant",5.13655723095793
"1999","litu","22545","canopy",0.5,287,4.65319434621037,4.0275835227036,3.43045376589669,"co-dominant",5.13655723095793
"1966","litu","32189","canopy",0.54,275,2.83356080521007,3.58506297126274,3.19857299694168,"co-dominant",7.01304154093815
"1977","litu","32189","canopy",0.41,275,2.83356080521007,3.70702581608156,3.26248152762674,"co-dominant",7.01304154093815
"1999","litu","32189","canopy",0.25,275,2.83356080521007,3.8852381117509,3.35586477055747,"co-dominant",7.01304154093815
"1966","litu","50406","canopy",0.72,297,4.13997705299935,3.23098696247614,3.01303716833749,"co-dominant",5.37820542274755
"1977","litu","50406","canopy",0.96,297,4.13997705299935,3.28064603433915,3.03905852199372,"co-dominant",5.37820542274755
"1999","litu","50406","canopy",0.66,297,4.13997705299935,3.40091857639983,3.10208133403351,"co-dominant",5.37820542274755
"1966","litu","50555","canopy",0.76,279,1.09158063312036,3.77402687447709,3.297590082226,"co-dominant",8.48976998277438
"1977","litu","50555","canopy",0.43,279,1.09158063312036,3.78719956656629,3.30449257288074,"co-dominant",8.48976998277438
"1999","litu","50555","canopy",0.55,279,1.09158063312036,3.84612579877615,3.3353699185587,"co-dominant",8.48976998277438
"1966","litu","60287","canopy",0.96,299,4.31535180969024,3.3981421274225,3.10062647476939,"co-dominant",5.67313277977415
"1977","litu","60287","canopy",0.73,299,4.31535180969024,3.52204188682428,3.16554994869592,"co-dominant",5.67313277977415
"1999","litu","60287","canopy",0.68,299,4.31535180969024,3.69844292309363,3.25798409170106,"co-dominant",5.67313277977415
"1966","litu","70433","canopy",0.54,291,4.27928824257371,4.04125575050154,3.43761801326281,"co-dominant",8.06215076460802
"1977","litu","70433","canopy",1,291,4.27928824257371,4.09555232273583,3.46606941711358,"co-dominant",8.06215076460802
"1999","litu","70433","canopy",0.53,291,4.27928824257371,4.20306061236183,3.5224037608776,"co-dominant",8.06215076460802
"1966","litu","80711","canopy",0.47,297,4.56429591719326,3.74284177661891,3.28124909094831,"dominant",6.7986909258386
"1977","litu","80711","canopy",1.08,297,4.56429591719326,3.80482617174365,3.31372891399368,"dominant",6.7986909258386
"1999","litu","80711","canopy",1.27,297,4.56429591719326,3.89194330763582,3.35937829320117,"dominant",6.7986909258386
"1966","litu","82218","canopy",0.69,301,4.63011616689956,3.99797634812771,3.41493960641892,"co-dominant",5.61948858644543
"1977","litu","82218","canopy",0.78,301,4.63011616689956,4.0257282477214,3.42948160180601,"co-dominant",5.61948858644543
"1999","litu","82218","canopy",0.87,301,4.63011616689956,4.08290053364112,3.45943987962794,"co-dominant",5.61948858644543
"1966","litu","90287","canopy",0.59,313,4.82573957889938,3.77339965368286,3.29726141852982,"co-dominant",5.52649775982778
"1977","litu","90287","canopy",0.54,313,4.82573957889938,3.81119980305125,3.31706869679886,"co-dominant",5.52649775982778
"1999","litu","90287","canopy",0.36,313,4.82573957889938,3.87267936436878,3.34928398692924,"co-dominant",5.52649775982778
"1966","litu","91377","canopy",0.52,301,4.71271472451594,3.45086543000106,3.12825348532055,"co-dominant",7.22333761800208
"1977","litu","91377","canopy",1,301,4.71271472451594,3.47647920543955,3.14167510365033,"co-dominant",7.22333761800208
"1999","litu","91377","canopy",0.97,301,4.71271472451594,3.56857977515045,3.18993580217884,"co-dominant",7.22333761800208
"1966","litu","102412","canopy",0.93,316,5.28545007669282,3.88184764367357,3.35408816528495,"co-dominant",5.98453101506664
"1977","litu","102412","canopy",0.42,316,5.28545007669282,3.91896337215414,3.37353680700877,"co-dominant",5.98453101506664
"1999","litu","102412","canopy",0.26,316,5.28545007669282,3.99057018681887,3.41105877789309,"co-dominant",5.98453101506664
"1966","litu","110128","canopy",0.69,315,4.94653859654942,3.99597208217522,3.41388937105982,"co-dominant",5.79919286550372
"1977","litu","110128","canopy",0.48,315,4.94653859654942,4.1054526749794,3.47125720168921,"co-dominant",5.79919286550372
"1999","litu","110128","canopy",0.66,315,4.94653859654942,4.22234816259481,3.53251043719968,"co-dominant",5.79919286550372
"1977","litu","110379","canopy",0.49,315,4.92801792583259,4.02470005275789,3.42894282764513,"co-dominant",6.2932449848391
"1999","litu","110379","canopy",0.49,315,4.92801792583259,4.25251437084836,3.54831753032454,"co-dominant",6.2932449848391
"1966","litu","110791","canopy",0.62,317,5.04350421653432,4.03696879406085,3.43537164808788,"co-dominant",6.24953303221317
"1977","litu","110791","canopy",0.47,317,5.04350421653432,4.0779518162819,3.45684675173171,"co-dominant",6.24953303221317
"1999","litu","110791","canopy",0.53,317,5.04350421653432,4.13111159760911,3.48470247714717,"co-dominant",6.24953303221317
"1966","litu","110798","canopy",0.67,318,5.08588230077407,3.95218415563425,3.39094449755235,"co-dominant",6.49829065175688
"1977","litu","110798","canopy",0.51,318,5.08588230077407,4.04111374097601,3.43754360027143,"co-dominant",6.49829065175688
"1999","litu","110798","canopy",0.48,318,5.08588230077407,4.17524973029983,3.50783085867711,"co-dominant",6.49829065175688
