"best_model","scenario"
"resist.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","all droughts"
"resist.value ~ height.ln.m+(1|sp)","1966"
"resist.value ~ TWI.ln+(1|sp)","1977"
"resist.value ~ (1|sp)","1999"
