"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh_old.mm","dbh_old.cm","dbh.ln.cm","height.ln.m","height.m","position_all","TWI","TWI.ln"
"1977","121105",1.05,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,428.280040748767,42.8280040748767,3.75719218944117,3.25111738562123,25.8191737784542,"co-dominant",5.52904979068728,1.71001597268462
"1999","121105",0.71,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,478.638659581752,47.8638659581752,3.86836085561112,3.32248766930234,27.7292460225286,"co-dominant",5.52904979068728,1.71001597268462
"1966","131113",0.79,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,454.80203892919,45.480203892919,3.81727715200595,3.28969193158782,26.8345954911593,"co-dominant",5.35847399339884,1.6786792318231
"1977","131113",0.75,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,471.018163741723,47.1018163741723,3.85231156448627,3.31218402440019,27.4450006147223,"co-dominant",5.35847399339884,1.6786792318231
"1999","131113",1.05,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,497.73353235761,49.773353235761,3.90747976523945,3.34760200928373,28.4344662381171,"co-dominant",5.35847399339884,1.6786792318231
"1966","70256",0.8,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,155.75599560323,15.575599560323,2.74570555897742,2.6017429688635,13.4872253740873,"co-dominant",5.12230133841115,1.6336038182239
"1977","70256",0.75,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,178.422572119888,17.8422572119888,2.88156964448391,2.68896771175867,14.7164764310916,"co-dominant",5.12230133841115,1.6336038182239
"1999","70256",0.83,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,204.849595290752,20.4849595290752,3.01969093535984,2.77764158050102,16.0810503276448,"co-dominant",5.12230133841115,1.6336038182239
"1966","50246",0.63,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,224.853482470855,22.4853482470855,3.11286390807629,2.83745862898498,17.0723232515738,"co-dominant",5.70175582913746,1.74077416760542
"1977","50246",0.7,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,230.82458719333,23.082458719333,3.13907296626634,2.85428484434299,17.3620162225981,"co-dominant",5.70175582913746,1.74077416760542
"1999","50246",0.67,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,245.160152359684,24.5160152359684,3.19932658709369,2.89296766891415,18.0467870996236,"co-dominant",5.70175582913746,1.74077416760542
"1966","111094",0.51,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,284.019900780944,28.4019900780944,3.34645921588449,2.98742681659784,19.8345787612698,"co-dominant",5.22032663457947,1.65255997361112
"1977","111094",1.1,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,300.98700263051,30.098700263051,3.40448199019299,3.0246774377039,20.5873629330016,"co-dominant",5.22032663457947,1.65255997361112
"1999","111094",1.26,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,333.974768641715,33.3974768641715,3.50848035414026,3.09144438735805,22.0088443252926,"co-dominant",5.22032663457947,1.65255997361112
"1966","152053",1.74,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,166.743766277091,16.6743766277091,2.81387320745727,2.64550659918757,14.0905815524738,"co-dominant",4.36992703538662,1.47474631226024
"1977","152053",0.88,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,184.179518673113,18.4179518673113,2.91332583394531,2.70935518539289,15.0195875422979,"co-dominant",4.36992703538662,1.47474631226024
"1999","152053",1.32,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,204.245087891855,20.4245087891855,3.01673559096779,2.77574424940132,16.0505681772526,"co-dominant",4.36992703538662,1.47474631226024
"1966","70269",0.94,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,360.317626994906,36.0317626994906,3.58440084666879,3.14018534356136,23.1081494085463,"co-dominant",5.05109935435226,1.61960591352652
"1977","70269",0.59,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,377.399991426372,37.7399991426372,3.63072051722279,3.16992257205703,23.8056410632498,"co-dominant",5.05109935435226,1.61960591352652
"1999","70269",0.76,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,399.412163045127,39.9412163045127,3.68740878081673,3.20631643728434,24.6879788093985,"co-dominant",5.05109935435226,1.61960591352652
"1966","80640",0.76,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,500.901361501266,50.0901361501266,3.91382410547577,3.35167507571544,28.5505178906604,"co-dominant",6.96279253255791,1.94058061981895
"1977","80640",0.62,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,520.679062298061,52.0679062298061,3.95254875568468,3.37653630114956,29.2692155875587,"co-dominant",6.96279253255791,1.94058061981895
"1999","80640",1.94,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,544.213444866742,54.4213444866742,3.99675643879549,3.40491763370671,30.1118154231518,"co-dominant",6.96279253255791,1.94058061981895
"1966","70162",0.57,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,299,410.6241880178,41.06241880178,3.71509331881286,3.22408991067786,25.1306925702881,"co-dominant",5.34260840565491,1.67571399919012
"1977","70162",0.61,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,299,424.10370736958,42.410370736958,3.74739292518274,3.24482625796732,25.6572519298539,"co-dominant",5.34260840565491,1.67571399919012
"1999","70162",1.72,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,299,445.162702788835,44.5162702788835,3.79585474659251,3.27593874731239,26.4680606425606,"co-dominant",5.34260840565491,1.67571399919012
"1966","91302",0.77,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,310,501.186111015277,50.1186111015277,3.91439241818196,3.35203993247282,28.5609366405995,"co-dominant",5.20222786183411,1.64908696880342
"1977","91302",0.67,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,310,535.29852992412,53.529852992412,3.9802394981361,3.39431375780337,29.794200420323,"co-dominant",5.20222786183411,1.64908696880342
"1999","91302",0.8,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,310,584.518640404927,58.4518640404927,4.06820357860704,3.45078669746572,31.5251833377877,"co-dominant",5.20222786183411,1.64908696880342
"1966","91332",0.96,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,304,387.272702638651,38.7272702638651,3.65654400986188,3.18650125433133,24.2035968995633,"dominant",6.25977611545248,1.83414442016773
"1977","91332",0.79,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,304,411.428556541707,41.1428556541707,3.71705029489728,3.22534628932405,25.1622860783461,"dominant",6.25977611545248,1.83414442016773
"1999","91332",0.93,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,304,458.625431440949,45.8625431440949,3.82564873040802,3.29506648492195,26.9792077207934,"dominant",6.25977611545248,1.83414442016773
"1966","50336",0.63,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,294,292.644894280279,29.2644894280279,3.37637481608588,3.00663263192713,20.2191996745691,"co-dominant",5.91095289896059,1.77680705343975
"1977","50336",0.92,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,294,300.440802123327,30.0440802123327,3.40266564364888,3.02351134322258,20.563370114366,"co-dominant",5.91095289896059,1.77680705343975
"1999","50336",0.99,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,294,323.91197516134,32.391197516134,3.47788670428535,3.07180326415119,21.580783461473,"co-dominant",5.91095289896059,1.77680705343975
"1966","80554",0.89,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,289,352.284296250231,35.2284296250231,3.56185341642418,3.12570989334432,22.7760579278366,"dominant",6.26964133114252,1.83571914904411
"1977","80554",0.45,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,289,385.479986468042,38.5479986468042,3.65190418288486,3.18352248541208,24.1316072508797,"dominant",6.26964133114252,1.83571914904411
"1999","80554",0.79,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,289,428.684501908353,42.8684501908353,3.75813612858798,3.25172339455348,25.8348251703499,"dominant",6.26964133114252,1.83571914904411
"1966","50356",0.64,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,297.940962645098,29.7940962645098,3.3943102619554,3.01814718817537,20.4533603273429,"dominant",6.36103582716175,1.85019122999675
"1977","50356",0.57,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,318.282447136645,31.8282447136645,3.46035409411413,3.06054732842127,21.3392335353319,"dominant",6.36103582716175,1.85019122999675
"1999","50356",1.02,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,291,366.286341818375,36.6286341818375,3.60083028922243,3.1507330456808,23.3531772537097,"dominant",6.36103582716175,1.85019122999675
"1966","90552",0.76,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,296,350.643352512504,35.0643352512504,3.55718452419476,3.12271246453303,22.707890530095,"co-dominant",5.30259911551131,1.66819709950479
"1977","90552",0.57,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,296,367.733220576876,36.7733220576876,3.60477263819128,3.1532640337188,23.4123587281977,"co-dominant",5.30259911551131,1.66819709950479
"1999","90552",1.1,"caovl","ring",14.7998921598252,47.6041296443535,-2.48393333333333,0.963534645666667,296,391.428340134874,39.1428340134874,3.66721736643628,3.19335354925209,24.3700166109626,"co-dominant",5.30259911551131,1.66819709950479
"1966","60111",0.68,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,300,321.47,32.147,3.47031913373254,3.06694488385629,21.4761900912734,"co-dominant",5.62619606296195,1.72743355890266
"1977","60111",1.24,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,300,342.72,34.272,3.53432869426534,3.10803902171835,22.3771203008031,"co-dominant",5.62619606296195,1.72743355890266
"1999","60111",0.83,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,300,380.75,38.075,3.63955789878123,3.17559617101755,23.9410885978016,"co-dominant",5.62619606296195,1.72743355890266
"1966","152529",0.69,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,322,145.91,14.591,2.68040490028189,2.55981994598097,12.9334883793194,"co-dominant",4.44617377422235,1.49204390029828
"1977","152529",0.84,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,322,171.79,17.179,2.84368770764431,2.66464750830765,14.3628858556524,"co-dominant",4.44617377422235,1.49204390029828
"1999","152529",0.58,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,322,245.73,24.573,3.20164827920157,2.89445819524741,18.0737063679817,"co-dominant",4.44617377422235,1.49204390029828
"1977","30483",0.99,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,283,97.08,9.708,2.27295028786435,2.29823408480892,9.9565844373755,"co-dominant",6.93493718052542,1.93657199540211
"1999","30483",0.66,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,283,133.79,13.379,2.59368631349148,2.50414661326153,12.2331149319818,"co-dominant",6.93493718052542,1.93657199540211
"1966","50557",1.63,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,279,155.84,15.584,2.74624474690018,2.60208912750991,13.4918949019188,"co-dominant",8.47503157321151,2.13712437871226
"1977","50557",1.08,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,279,177.62,17.762,2.87706134383631,2.68607338274291,14.6739436879156,"co-dominant",8.47503157321151,2.13712437871226
"1999","50557",0.9,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,279,234.59,23.459,3.15525421657088,2.8646732070385,17.54331923448,"co-dominant",8.47503157321151,2.13712437871226
"1966","40563",0.53,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,289,242.76,24.276,3.18948820797361,2.88665142951906,17.9331585024673,"co-dominant",6.3356395753546,1.84619076769123
"1977","40563",1.05,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,289,263.49,26.349,3.27143032360309,2.93925826775318,18.9018210212178,"co-dominant",6.3356395753546,1.84619076769123
"1999","40563",1.13,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,289,312.55,31.255,3.44217936338378,3.04887915129238,21.0916905747025,"co-dominant",6.3356395753546,1.84619076769123
"1966","30233",0.68,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,289,975.15,97.515,4.58000621232454,3.77936398831236,43.7881830810779,"co-dominant",6.54616057761143,1.87887870642453
"1977","30233",0.55,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,289,989.99,98.999,4.59510974907347,3.78906045890517,44.2148390964902,"co-dominant",6.54616057761143,1.87887870642453
"1999","30233",0.62,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,289,1010.42,101.042,4.61553627198727,3.80217428661583,44.7984834200013,"co-dominant",6.54616057761143,1.87887870642453
"1966","30214",0.9,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,293,68.4,6.84,1.92278773163446,2.07342972370932,7.95204973478689,"co-dominant",5.71261974149824,1.74267771731324
"1977","30214",0.81,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,293,78.84,7.884,2.06483538929047,2.16462431992448,8.71132862943796,"co-dominant",5.71261974149824,1.74267771731324
"1999","30214",0.78,"fagr","diffuse",9.44708098283297,30.6839321807413,-2.57164,0.61938469,293,100.72,10.072,2.30975929674205,2.32186546850839,10.1946744225925,"co-dominant",5.71261974149824,1.74267771731324
"1966","192697",1,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,338,313.766848631443,31.3766848631443,3.44606509682746,3.05137379216323,21.1443724519064,"co-dominant",4.9580033138593,1.60100310199908
"1977","192697",0.76,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,338,338.261341646951,33.8261341646951,3.52123370386265,3.09963203787982,22.1897847787984,"co-dominant",4.9580033138593,1.60100310199908
"1999","192697",1.31,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,338,365.156900853838,36.5156900853838,3.59774203357578,3.14875038555565,23.3069217100367,"co-dominant",4.9580033138593,1.60100310199908
"1966","142178",0.94,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,296,462.418460680781,46.2418460680781,3.8338851471848,3.30035426449264,27.1222456674935,"co-dominant",10.7193308486063,2.37204873285543
"1977","142178",0.66,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,296,480.523784361388,48.0523784361388,3.87229163338249,3.32501122863156,27.7993107891356,"co-dominant",10.7193308486063,2.37204873285543
"1999","142178",0.84,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,296,520.160165046383,52.0160165046383,3.95155168086076,3.37589617911261,29.2504857129989,"co-dominant",10.7193308486063,2.37204873285543
"1966","171358",1.47,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,298,811.339996053021,81.1339996053021,4.39610210391366,3.66129755071257,38.9118001628346,"co-dominant",7.35622858712251,1.99554738118075
"1977","171358",1.32,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,298,830.002982938721,83.0002982938721,4.41884420169221,3.6758979774864,39.4840967726687,"co-dominant",7.35622858712251,1.99554738118075
"1999","171358",1.02,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,298,866.76013072098,86.676013072098,4.46217717967236,3.70371774934965,40.597957170719,"co-dominant",7.35622858712251,1.99554738118075
"1966","202536",0.82,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,323,333.232208634876,33.3232208634875,3.50625447719738,3.09001537436072,21.9774158618851,"co-dominant",5.60045113719761,1.72284715471016
"1977","202536",1.29,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,323,344.230683895644,34.4230683895644,3.53872693235242,3.11086269057025,22.440395169989,"co-dominant",5.60045113719761,1.72284715471016
"1999","202536",1.27,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,323,390.105680205189,39.0105680205189,3.66383258430768,3.19118051912553,24.3171173273669,"co-dominant",5.60045113719761,1.72284715471016
"1966","182396",0.72,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,313,296.042852594633,29.6042852594633,3.38791912313069,3.0140440770499,20.3696098532802,"co-dominant",7.29291811316673,1.98690375579793
"1977","182396",0.85,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,313,311.367083311446,31.1367083311446,3.43838745533195,3.04644474632311,21.0404073058062,"co-dominant",7.29291811316673,1.98690375579793
"1999","182396",0.84,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,313,339.667760927737,33.9667760927737,3.5253828731287,3.10229580454862,22.2489719833338,"co-dominant",7.29291811316673,1.98690375579793
"1966","101292",0.86,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,285,466.849358916581,46.6849358916581,3.84342154072424,3.30647662914496,27.2888073009144,"co-dominant",11.0724296294133,2.40445820135707
"1977","101292",0.93,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,285,493.045432931322,49.3045432931322,3.89801623284984,3.3415264214896,28.2622338783172,"co-dominant",11.0724296294133,2.40445820135707
"1999","101292",0.85,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,285,534.258640674657,53.4258640674657,3.97829497454126,3.39306537365549,29.7570290197405,"co-dominant",11.0724296294133,2.40445820135707
"1966","182678",1.03,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,328,117.001444473604,11.7001444473604,2.45960118765574,2.41806396247498,11.2241079717495,"co-dominant",4.795192450584,1.56761384320965
"1977","182678",1.04,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,328,125.548003267935,12.5548003267935,2.53010308860363,2.46332618288353,11.7438087036755,"co-dominant",4.795192450584,1.56761384320965
"1999","182678",1.12,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,328,144.766786277082,14.4766786277082,2.67253898410726,2.55477002779686,12.8683399567201,"co-dominant",4.795192450584,1.56761384320965
"1966","10539",1.03,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,291,398.088975809684,39.8088975809684,3.68409044461594,3.20418606544344,24.6354402177726,"co-dominant",4.42683914541166,1.48768581819303
"1977","10539",0.68,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,291,417.536804211238,41.7536804211238,3.73178760121092,3.23480763997741,25.401485078617,"co-dominant",4.42683914541166,1.48768581819303
"1999","10539",0.89,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,291,452.818844180855,45.2818844180855,3.81290705003615,3.28688632612321,26.7594137179213,"co-dominant",4.42683914541166,1.48768581819303
"1966","202775",1.06,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,321,687.990371529881,68.7990371529881,4.23118974997201,3.55542381948203,35.0026516301814,"co-dominant",6.45178431668543,1.86435673079618
"1977","202775",0.82,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,321,716.000738787542,71.6000738787542,4.27109610579224,3.58104369991862,35.9110016042195,"co-dominant",6.45178431668543,1.86435673079618
"1999","202775",0.96,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,321,767.064041539571,76.7064041539572,4.33998520102785,3.62527049905988,37.5348749348989,"co-dominant",6.45178431668543,1.86435673079618
"1966","132525",0.79,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,327,447.29665023387,44.729665023387,3.80063692855883,3.27900890813477,26.5494467156283,"co-dominant",5.68569777620149,1.73795385954771
"1977","132525",0.69,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,327,466.39518004798,46.639518004798,3.84244820761487,3.30585174928874,27.2717604016186,"co-dominant",5.68569777620149,1.73795385954771
"1999","132525",1.05,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,327,501.287780386501,50.1287780386501,3.91459525512853,3.35217015379251,28.5646561256334,"co-dominant",5.68569777620149,1.73795385954771
"1966","40131",1.16,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,292,537.616515426601,53.7616515426601,3.98456041640262,3.39708778733049,29.8769651548598,"co-dominant",6.98383308409766,1.94359791849478
"1977","40131",0.65,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,292,559.182527151241,55.9182527151241,4.02389085128438,3.42233792652457,30.6409676771032,"co-dominant",6.98383308409766,1.94359791849478
"1999","40131",0.89,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,292,594.429649944631,59.4429649944631,4.08501728130646,3.46158109459875,31.8673219543469,"co-dominant",6.98383308409766,1.94359791849478
"1966","140881",0.6,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,295,546.0560080422,54.60560080422,4.00013645632188,3.40708760495865,30.1772281431569,"co-dominant",8.22176743837816,2.10678520278961
"1977","140881",0.89,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,295,560.674516502915,56.0674516502915,4.02655545966972,3.42404860510796,30.6934293840482,"co-dominant",8.22176743837816,2.10678520278961
"1999","140881",0.94,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,295,591.577687341795,59.1577687341795,4.08020792134668,3.45849348550457,31.7690798659042,"co-dominant",8.22176743837816,2.10678520278961
"1966","40935",1.14,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,280,272.418119291322,27.2418119291322,3.30475299629132,2.96065142361903,19.3105470055663,NA,6.97907463031681,1.94291633353233
"1977","40935",0.93,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,280,295.11079859563,29.511079859563,3.38476578128985,3.01201963158808,20.3284144020953,NA,6.97907463031681,1.94291633353233
"1999","40935",1.03,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,280,326.82590978911,32.682590978911,3.48684255016945,3.07755291720879,21.7052228780086,NA,6.97907463031681,1.94291633353233
"1966","111290",0.82,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,287,336.176912927963,33.6176912927963,3.515052454974,3.09566367609331,22.1019021751448,NA,9.39414736426728,2.24008687454449
"1977","111290",1.33,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,287,344.66570204902,34.466570204902,3.53998987470507,3.11167349956065,22.4585974224188,NA,9.39414736426728,2.24008687454449
"1999","111290",1.18,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,287,368.867728250589,36.8867728250589,3.60785302675883,3.15524164317917,23.4587050426582,NA,9.39414736426728,2.24008687454449
"1966","192260",1.66,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,310,409.81913654132,40.981913654132,3.71313083899065,3.222829998632,25.0990500455827,"co-dominant",5.56996665194505,1.7173890668378
"1977","192260",0.59,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,310,462.69098453021,46.269098453021,3.83447431824715,3.30073251231467,27.1325065382994,"co-dominant",5.56996665194505,1.7173890668378
"1999","192260",1.12,"fram","ring",13.0640848029918,43.2771275139141,-2.10121333333333,0.564523481666667,310,534.823337476363,53.4823337476363,3.97935138904597,3.39374359176751,29.7772176211454,"co-dominant",5.56996665194505,1.7173890668378
