"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh_old.mm","dbh_old.cm","dbh.ln.cm","height.ln.m","height.m","position_all","TWI","TWI.ln"
"1966","132018",0.66,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,321.542446669585,32.1542446669585,3.47054446893489,3.0670895490562,21.4792971733442,"co-dominant",9.44537694949331,2.24552541010874
"1977","132018",0.66,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,338.694094838143,33.8694094838143,3.52251223189217,3.10045285287477,22.2080059639676,"co-dominant",9.44537694949331,2.24552541010874
"1999","132018",0.92,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,293,370.494870175762,37.0494870175762,3.61225450596679,3.15806739283068,23.5250872157877,"co-dominant",9.44537694949331,2.24552541010874
"1966","50488",1.48,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,312.910084477663,31.2910084477663,3.44333078623675,3.04961836476399,21.1072876005699,"co-dominant",9.27384068954015,2.22719760763972
"1977","50488",0.39,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,326.371379635614,32.6371379635614,3.48545084131145,3.07665944012195,21.6858384197765,"co-dominant",9.27384068954015,2.22719760763972
"1999","50488",0.9,"caco","ring",17.2184357420595,45.8645424527914,-2.13241333333333,0.832722147,287,339.388143937991,33.9388143937991,3.52455932677987,3.10176708779268,22.2372116882501,"co-dominant",9.27384068954015,2.22719760763972
"1966","60059",0.79,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,447.953590171143,44.7953590171143,3.80210454068679,3.27995111512092,26.574473578193,"dominant",5.18468136560841,1.64570838668004
"1977","60059",0.72,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,468.708850530603,46.8708850530603,3.84739669490248,3.3090286781274,27.3585386148365,"dominant",5.18468136560841,1.64570838668004
"1999","60059",0.78,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,506.999102730301,50.6999102730301,3.92592414083285,3.35944329841469,28.7731683513376,"dominant",5.18468136560841,1.64570838668004
"1966","80625",0.79,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,337.402484488824,33.7402484488824,3.51869144072089,3.09799990494281,22.1535976393401,"co-dominant",6.89303965795485,1.9305121572534
"1977","80625",0.52,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,351.755253774558,35.1755253774558,3.56035053899284,3.12474504603341,22.7540931076444,"co-dominant",6.89303965795485,1.9305121572534
"1999","80625",0.74,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,295,369.843905682531,36.9843905682531,3.61049594709558,3.15693839803536,23.4985425020031,"co-dominant",6.89303965795485,1.9305121572534
"1966","121105",0.86,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,407.599103640806,40.7599103640806,3.7076990092373,3.21934276393035,25.011676202379,"co-dominant",5.52904979068728,1.71001597268462
