"Species","Mean Rt"
"caco",0.75
"cagl",0.81
"caovl",0.83
"fagr",0.99
"fram",0.94
"juni",0.77
"litu",0.66
"qual",0.86
"qupr",0.9
"quru",0.91
"quve",0.89
"cato",0.82
