"best_model","scenario"
"resist.value ~ height.ln.m*TWI.ln+position_all+PLA_dry_percent+mean_TLP_Mpa+year+(1|sp/tree)","all droughts"
"resist.value ~ height.ln.m*TWI.ln+position_all+PLA_dry_percent+(1|sp)","1966"
"resist.value ~ height.ln.m*TWI.ln+position_all+mean_TLP_Mpa+(1|sp)","1977"
"resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)","1999"
