"best_model","scenario"
"resist.value ~ position_all+height.ln.m+TWI.ln+PLA_dry_percent+(1|sp/tree)","all droughts"
"resist.value ~ height.ln.m+rp+PLA_dry_percent+(1|sp)","1966"
"resist.value ~ TWI.ln+rp+PLA_dry_percent+(1|sp)","1977"
"resist.value ~ position_all+height.ln.m+TWI.ln+rp+PLA_dry_percent+(1|sp)","1999"
