"prediction","variable","variable_description","null_model","tested_model","null_model_year","tested_model_year","dAIC_all","coef_all","coef_var_all","dAIC_1966","coef_1966","coef_var_1966","dAIC_1977","coef_1977","coef_var_1977","dAIC_1999","coef_1999","coef_var_1999"
3.1,"rp","ring.porosity","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+rp","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+rp",0.236,"-","rpring (-0.1469)",-1.287,"-","rpring (-0.1099)",1.424,"-","rpring (-0.263)",-1.106,"-","rpring (-0.0841)"
3.2,"PLA_dry_percent","percent.loss.area","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+PLA_dry_percent","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+PLA_dry_percent",1.089,"-","PLA_dry_percent (-0.0157)",1.085,"-","PLA_dry_percent (-0.0196)",-0.513,"-","PLA_dry_percent (-0.0169)",0.668,"-","PLA_dry_percent (-0.0128)"
3.3,"LMA_g_per_m2","leaf.mass.area","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+LMA_g_per_m2","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+LMA_g_per_m2",-1.892,"-","LMA_g_per_m2 (-0.0011)",-0.998,"-","LMA_g_per_m2 (-0.0039)",-1.953,"-","LMA_g_per_m2 (-0.0014)",-2.017,"+","LMA_g_per_m2 (4e-04)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+mean_TLP_Mpa","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+mean_TLP_Mpa",2.503,"-","mean_TLP_Mpa (-0.3472)",-1.108,"-","mean_TLP_Mpa (-0.2124)",1.571,"-","mean_TLP_Mpa (-0.4679)",6.109,"-","mean_TLP_Mpa (-0.3731)"
3.5,"WD_g_per_cm3","wood.density","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)","metric.value ~ height.ln.m+TWI.ln+year+(1|sp/tree)+WD_g_per_cm3","metric.value ~ height.ln.m+TWI.ln+(1|sp)","metric.value ~ height.ln.m+TWI.ln+(1|sp)+WD_g_per_cm3",-1.825,"-","WD_g_per_cm3 (-0.1091)",-2.045,"-","WD_g_per_cm3 (-0.0201)",-1.37,"-","WD_g_per_cm3 (-0.298)",-2.017,"+","WD_g_per_cm3 (0.0357)"
